date,game_id,matchup,wl,pts,fgm,fga,fg3m,fg3a,ftm,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp
"Oct 23, 2025",0022500006,DEN @ GSW,L,21,8,23,2,13,3,4,25,38.0,42.41,-4.41
"Oct 25, 2025",0022500104,DEN vs. PHX,W,14,5,8,0,3,4,4,10,70.0,71.72,-1.72
"Oct 27, 2025",0022500008,DEN @ MIN,W,25,9,10,0,0,7,7,14,85.71,95.57,-9.85
"Oct 29, 2025",0022500134,DEN vs. NOP,W,21,10,15,1,2,0,0,15,66.67,70.0,-3.33
"Oct 31, 2025",0022500026,DEN @ POR,L,21,7,10,2,3,5,7,13,69.23,80.28,-11.04
"Nov 03, 2025",0022500162,DEN vs. SAC,W,34,14,22,4,10,2,3,24,62.5,72.9,-10.4
"Nov 05, 2025",0022500178,DEN vs. MIA,W,33,12,18,2,5,7,8,22,70.45,76.67,-6.22
"Nov 07, 2025",0022500037,DEN vs. GSW,W,26,12,15,2,3,0,0,15,80.0,86.67,-6.67
"Nov 08, 2025",0022500189,DEN vs. IND,W,32,10,14,1,1,11,12,20,77.5,82.99,-5.49
"Nov 11, 2025",0022500212,DEN @ SAC,W,35,16,19,1,2,2,3,20,82.5,86.12,-3.62
"Nov 12, 2025",0022500224,DEN @ LAC,W,55,18,23,5,6,14,16,30,80.0,91.54,-11.54
"Nov 15, 2025",0022500232,DEN @ MIN,W,27,8,15,3,6,8,8,19,63.16,72.89,-9.74
"Nov 17, 2025",0022500248,DEN vs. CHI,L,36,13,27,1,7,9,12,32,52.6,55.76,-3.16
"Nov 19, 2025",0022500260,DEN @ NOP,W,28,10,18,2,4,6,7,22,61.36,66.41,-5.05
"Nov 21, 2025",0022500054,DEN @ HOU,W,34,11,20,4,8,8,10,25,60.0,69.67,-9.67
"Nov 22, 2025",0022500274,DEN vs. SAC,L,44,16,28,3,6,9,10,32,60.94,67.9,-6.96
"Nov 24, 2025",0022500287,DEN @ MEM,W,17,5,9,3,4,4,5,11,59.09,75.89,-16.8
"Nov 28, 2025",0022500076,DEN vs. SAS,L,21,7,10,1,1,6,8,0,,,
