player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
893,Michael Jordan,CHI,82,2753,1964,1719,245,699,0,56.51,60.6,-4.09,1034,92,593
252,Karl Malone,UTH,82,2540,1627,1584,43,913,0,60.33,62.6,-2.27,914,16,696
121,Patrick Ewing,NYK,82,2347,1673,1669,4,648,0,58.7,59.93,-1.23,922,1,502
1472,Tom Chambers,PHX,81,2201,1617,1531,86,647,0,55.48,57.87,-2.39,810,24,557
1122,Dominique Wilkins,ATL,80,2138,1672,1489,183,569,0,52.2,55.61,-3.41,810,59,459
397,Reggie Miller,IND,82,2016,1287,925,362,627,0,56.58,64.5,-7.92,661,150,544
165,Hakeem Olajuwon,HOU,82,1995,1609,1603,6,536,0,53.06,54.07,-1.01,806,1,382
764,David Robinson,SAN,82,1993,1300,1298,2,837,0,57.95,59.73,-1.78,690,0,613
787,Charles Barkley,PHL,79,1989,1177,1085,92,744,0,62.35,66.11,-3.76,706,20,557
904,Chris Mullin,GOS,78,1956,1272,1038,234,568,0,58.46,64.26,-5.8,682,87,505
76338,Tony Campbell,MIN,82,1903,1581,1527,54,569,0,50.28,51.96,-1.68,723,9,448
77264,Bernard King,WAS,82,1837,1459,1436,23,513,0,53.18,54.52,-1.34,711,3,412
117,Jeff Malone,WAS,75,1820,1592,1586,6,293,0,52.25,52.88,-0.63,781,1,257
1449,Larry Bird,BOS,75,1820,1517,1322,195,343,0,50.95,54.56,-3.61,718,65,319
187,Terry Cummings,SAN,81,1818,1532,1473,59,440,0,51.02,52.68,-1.66,728,19,343
77142,Magic Johnson,LAL,79,1765,1138,862,276,637,0,55.35,62.22,-6.87,546,106,567
47,Wayman Tisdale,SAC,79,1758,1383,1377,6,391,0,55.58,56.53,-0.95,726,0,306
782,Mitch Richmond,GOS,78,1720,1287,1192,95,469,0,54.81,57.59,-2.78,640,34,406
1450,Kevin McHale,BOS,82,1712,1181,1112,69,440,0,59.63,62.27,-2.64,648,23,393
17,Clyde Drexler,POR,73,1703,1357,1251,106,430,0,52.4,55.07,-2.67,670,30,333
1460,James Worthy,LAL,80,1685,1298,1249,49,317,0,56.89,58.61,-1.72,711,15,248
134,Kevin Johnson,PHX,74,1665,1159,1118,41,598,0,56.31,58.54,-2.23,578,8,501
293,Charles Smith,LAC,78,1645,1145,1133,12,572,0,57.24,58.89,-1.65,595,1,454
76176,Rolando Blackman,DAL,80,1552,1256,1213,43,340,0,53.61,55.21,-1.6,626,13,287
77449,Moses Malone,ATL,81,1528,1077,1068,9,631,0,54.69,56.4,-1.71,517,1,493
456,Chuck Person,IND,77,1515,1242,989,253,270,0,50.38,55.67,-5.29,605,94,211
765,Hersey Hawkins,PHL,82,1515,1136,936,200,436,0,52.1,57.05,-4.95,522,84,387
78318,Isiah Thomas,DET,81,1492,1322,1186,136,377,0,47.26,50.14,-2.88,579,42,292
157,Derek Harper,DAL,82,1473,1161,921,240,315,0,51.2,56.67,-5.47,567,89,250
1365,Xavier McDaniel,SEA,69,1471,1233,1216,17,333,0,52.24,53.32,-1.08,611,5,244
77376,Lafayette Lever,DEN,79,1443,1283,1196,87,337,0,48.26,50.41,-2.15,568,36,271
78310,Reggie Theus,ORL,76,1438,1178,1073,105,443,0,49.52,52.37,-2.85,517,26,378
767,Terry Catledge,ORL,74,1435,1152,1144,8,486,0,51.29,52.53,-1.24,546,2,341
76673,Alex English,DEN,80,1433,1293,1288,5,183,0,51.66,52.17,-0.51,635,2,161
899,Mark Price,CLE,73,1430,1066,692,374,338,0,50.28,58.86,-8.58,489,152,300
345,Terry Porter,POR,80,1406,969,731,238,472,0,53.1,59.74,-6.64,448,89,421
901,Otis Thorpe,HOU,82,1401,998,988,10,446,0,57.14,58.66,-1.52,547,0,307
73,Hot Rod Williams,CLE,82,1381,1070,1070,0,440,0,53.53,54.65,-1.12,528,0,325
894,Ricky Pierce,MIL,59,1359,987,854,133,366,0,54.95,59.19,-4.24,503,46,307
1622,Rodney McCray,SAC,82,1358,1043,1001,42,348,0,54.85,56.77,-1.92,537,11,273
937,Scottie Pippen,CHI,82,1351,1150,1038,112,295,0,49.91,52.78,-2.87,562,28,199
304,John Stockton,UTH,78,1345,918,805,113,432,0,56.49,60.69,-4.2,472,47,354
76017,Danny Ainge,SAC,75,1342,1154,865,289,267,0,46.86,52.77,-5.91,506,108,222
77384,Reggie Lewis,BOS,79,1340,1089,1074,15,317,0,53.39,54.54,-1.15,540,4,256
247,Joe Dumars,DET,75,1335,1058,1003,55,330,0,53.38,55.48,-2.1,508,22,297
404,Kevin Duckworth,POR,82,1327,1146,1146,0,312,0,50.96,51.7,-0.74,548,0,231
78304,Terry Teagle,GOS,82,1323,1122,1108,14,294,0,51.84,52.86,-1.02,538,3,244
760,Jerome Kersey,POR,82,1310,1085,1065,20,390,0,50.78,52.12,-1.34,519,3,269
107,Dale Ellis,SEA,55,1293,1011,755,256,236,0,51.43,57.99,-6.56,502,96,193
335,Willie Anderson,SAN,82,1288,1082,1056,26,290,0,51.94,53.24,-1.3,532,7,217
288,Armen Gilliam,CHH,76,1271,940,938,2,419,0,55.24,56.52,-1.28,484,0,303
22,Rik Smits,IND,82,1271,967,966,1,297,0,56.94,57.89,-0.95,515,0,241
96,Detlef Schrempf,IND,78,1267,822,774,48,490,0,58.07,61.05,-2.98,424,17,402
365,Derrick McKey,SEA,80,1254,949,926,23,403,0,53.96,55.67,-1.71,468,3,315
77054,Dennis Hopson,NJN,79,1251,1093,992,101,342,0,47.58,50.3,-2.72,474,32,271
305,Robert Parish,BOS,79,1243,871,871,0,312,0,60.52,61.64,-1.12,505,0,233
77081,Jay Humphries,MIL,81,1237,1005,935,70,285,0,52.3,54.72,-2.42,496,21,224
78369,Kelly Tripucka,CHH,79,1232,1029,925,104,351,0,49.03,52.05,-3.02,442,38,310
938,Rony Seikaly,MIA,74,1228,968,967,1,431,0,51.86,53.04,-1.18,486,0,256
149,Michael Adams,DEN,79,1221,989,557,432,314,0,44.82,54.16,-9.34,398,158,267
77130,Buck Johnson,HOU,82,1215,1019,1002,17,270,0,52.26,53.39,-1.13,504,2,205
1453,Walter Davis,DEN,69,1207,1033,987,46,227,0,51.6,53.27,-1.67,497,6,207
64,Sam Perkins,DAL,76,1206,883,855,28,424,0,54.37,56.38,-2.01,435,6,330
895,Tyrone Corbin,MIN,82,1203,1083,1072,11,209,0,50.42,51.19,-0.77,521,0,161
2,Byron Scott,LAL,77,1197,1005,785,220,209,0,49.08,54.56,-5.48,472,93,160
786,Gerald Wilkins,NYK,82,1191,1032,907,125,259,0,48.65,51.97,-3.32,472,39,208
229,James Edwards,DET,82,1189,928,925,3,354,0,53.73,54.86,-1.13,462,0,265
356,Chris Morris,NJN,80,1187,1065,872,193,316,0,44.98,49.29,-4.31,449,61,228
204,Jeff Hornacek,PHX,67,1179,901,803,98,202,0,56.09,59.55,-3.46,483,40,173
313,Vern Fleming,IND,82,1176,919,885,34,294,0,54.29,56.09,-1.8,467,12,230
1008,Johnny Dawkins,PHL,81,1162,950,884,66,244,0,52.58,54.95,-2.37,465,22,210
1847,Thurl Bailey,UTH,82,1162,977,969,8,285,0,51.71,52.7,-0.99,470,0,222
896,Tim Hardaway,GOS,79,1162,985,901,84,276,0,49.87,52.51,-2.64,464,23,211
428,Sherman Douglas,MIA,81,1155,938,907,31,326,0,51.72,53.4,-1.68,463,5,224
330,Danny Manning,LAC,71,1154,826,821,5,370,0,56.93,58.35,-1.42,440,0,274
926,Alvin Robertson,MIL,81,1153,946,920,26,266,0,52.79,54.23,-1.44,476,4,197
80,Ken Norman,LAC,70,1128,949,933,16,242,0,52.32,53.44,-1.12,484,7,153
433,Buck Williams,POR,82,1114,754,753,1,408,0,58.11,59.67,-1.56,413,0,288
76826,Mike Gminski,PHL,81,1112,1002,985,17,235,0,49.29,50.3,-1.01,458,3,193
378,Craig Ehlo,CLE,81,1102,940,692,248,185,0,47.64,53.95,-6.31,436,104,126
76016,Mark Aguirre,DET,78,1099,898,805,93,254,0,51.28,54.42,-3.14,438,31,192
698,Eddie Johnson,PHX,64,1080,907,723,184,205,0,49.02,54.15,-5.13,411,70,188
