player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,total_fgm,total_fg3m,total_ftm
893,Michael Jordan,CHI,22,759,581,537,44,189,0,54.41,57.14,-2.73,290,17,162
17,Clyde Drexler,POR,21,553,425,344,81,171,0,50.18,55.27,-5.09,198,19,138
252,Karl Malone,UTH,16,465,284,282,2,210,0,59.62,61.77,-2.15,148,0,169
345,Terry Porter,POR,21,450,285,207,78,143,0,56.89,64.67,-7.78,147,37,119
937,Scottie Pippen,CHI,22,428,325,301,24,155,0,51.63,54.43,-2.8,152,6,118
921,Brad Daugherty,CLE,17,366,235,234,1,145,0,59.42,61.24,-1.82,124,0,118
760,Jerome Kersey,POR,21,341,257,254,3,114,0,54.04,55.51,-1.47,131,0,79
117,Jeff Malone,UTH,16,331,275,272,3,72,0,52.96,53.97,-1.01,134,1,62
899,Mark Price,CLE,17,327,238,169,69,73,0,52.91,60.53,-7.62,118,25,66
77685,Larry Nance,CLE,17,306,251,250,1,70,0,53.4,54.29,-0.89,124,0,58
77384,Reggie Lewis,BOS,10,280,218,212,6,63,0,55.45,56.98,-1.53,115,2,48
121,Patrick Ewing,NYK,12,272,239,238,1,73,0,49.28,50.16,-0.88,109,0,54
73,Hot Rod Williams,CLE,17,255,154,154,0,109,0,61.15,63.13,-1.98,84,0,87
270,Horace Grant,CHI,22,249,183,181,2,76,0,56.08,57.52,-1.44,99,0,51
404,Kevin Duckworth,POR,21,249,216,216,0,53,0,51.34,52.02,-0.68,107,0,35
304,John Stockton,UTH,16,237,182,124,58,78,0,47.4,54.78,-7.38,77,18,65
361,Clifford Robinson,POR,21,227,197,191,6,77,0,47.59,49.16,-1.57,91,1,44
1365,Xavier McDaniel,NYK,12,226,197,189,8,49,0,50.11,51.7,-1.59,94,2,36
76017,Danny Ainge,POR,21,222,169,117,52,47,0,50.8,58.52,-7.72,81,21,39
433,Buck Williams,POR,21,201,130,130,0,91,0,57.26,59.1,-1.84,66,0,69
134,Kevin Johnson,PHX,8,189,128,122,6,72,0,56.59,59.18,-2.59,62,3,62
895,Tyrone Corbin,UTH,16,180,137,135,2,54,0,54.55,55.98,-1.43,69,0,42
894,Ricky Pierce,SEA,9,176,131,120,11,54,0,53.82,56.86,-3.04,63,3,47
77820,John Paxson,CHI,22,174,139,112,27,19,0,53.7,59.04,-5.34,73,12,16
698,Eddie Johnson,SEA,9,166,137,115,22,34,0,50.3,54.62,-4.32,65,4,32
1450,Kevin McHale,BOS,10,165,126,125,1,44,0,55.56,56.76,-1.2,65,0,35
378,Craig Ehlo,CLE,17,163,152,101,51,21,0,43.35,50.55,-7.2,63,21,16
204,Jeff Hornacek,PHX,8,163,128,111,17,34,0,53.09,57.01,-3.92,62,8,31
769,B.J. Armstrong,CHI,22,161,139,122,17,38,0,48.35,51.7,-3.35,63,5,30
431,Shawn Kemp,SEA,9,157,101,101,0,80,0,55.67,57.64,-1.97,48,0,61
365,Derrick McKey,SEA,9,147,99,83,16,45,0,56.76,61.87,-5.11,52,5,38
317,John Starks,NYK,12,145,123,77,46,52,0,42.15,49.7,-7.55,46,11,42
333,Kevin Gamble,BOS,10,136,131,129,2,15,0,48.75,49.42,-0.67,62,0,12
105,Dan Majerle,PHX,7,130,111,78,33,26,0,46.26,53.09,-6.83,48,9,25
78059,Mike Sanders,CLE,17,130,115,112,3,21,0,51.18,52.32,-1.14,56,1,17
898,Blue Edwards,UTH,16,129,111,101,10,32,0,48.86,51.57,-2.71,52,2,23
76362,Bill Cartwright,CHI,22,123,116,116,0,31,0,46.77,47.44,-0.67,55,0,13
305,Robert Parish,BOS,10,120,101,101,0,28,0,52.17,52.95,-0.78,50,0,20
330,Danny Manning,LAC,5,113,81,78,3,31,0,57.65,59.7,-2.05,46,1,20
76082,John Bagley,BOS,10,111,95,91,4,37,0,48.05,49.87,-1.82,42,1,26
1472,Tom Chambers,PHX,7,109,85,78,7,32,0,52.15,55.01,-2.86,39,4,27
76,Cedric Ceballos,PHX,8,108,80,80,0,30,0,56.84,57.94,-1.1,44,0,20
786,Gerald Wilkins,NYK,12,107,109,96,13,23,0,42.13,44.91,-2.78,45,1,16
349,Mark Jackson,NYK,12,100,92,71,21,27,0,43.1,48.13,-5.03,37,4,22
897,Tim Perry,PHX,8,99,63,63,0,32,0,62.66,64.22,-1.56,38,0,23
896,Tim Hardaway,GOS,4,98,80,51,29,37,0,43.36,50.89,-7.53,32,10,24
77845,Drazen Petrovic,NJN,4,97,76,64,12,13,0,54.8,59.35,-4.55,41,4,11
291,Ed Pinckney,BOS,10,96,58,57,1,31,0,64.86,67.0,-2.14,35,0,26
1479,Mike Brown,UTH,16,92,75,75,0,41,0,48.17,49.44,-1.27,30,0,32
166,Ron Harper,LAC,5,90,87,78,9,14,0,45.69,48.3,-2.61,39,1,11
128,David Benoit,UTH,13,89,84,71,13,11,0,46.35,50.09,-3.74,36,6,11
934,Derrick Coleman,NJN,4,89,74,68,6,21,0,50.86,53.46,-2.6,36,1,16
174,John Battle,CLE,15,89,82,80,2,23,0,47.09,48.31,-1.22,34,0,21
281,Scott Williams,CHI,22,88,70,69,1,28,0,52.07,53.45,-1.38,34,0,20
203,Nate McMillan,SEA,9,86,83,57,26,14,0,41.75,48.23,-6.48,35,6,10
36,Sarunas Marciulionis,GOS,4,85,47,45,2,41,0,62.04,65.34,-3.3,25,1,34
247,Joe Dumars,DET,5,84,68,58,10,19,0,50.91,55.0,-4.09,32,5,15
397,Reggie Miller,IND,3,81,43,32,11,30,0,63.78,72.06,-8.28,25,7,24
187,Terry Cummings,SAN,3,78,66,65,1,20,0,50.98,52.14,-1.16,34,0,10
182,Billy Owens,GOS,4,77,57,57,0,27,0,54.61,55.89,-1.28,30,0,17
470,Doc Rivers,LAC,5,76,56,48,8,27,0,51.7,55.98,-4.28,25,4,22
2,Byron Scott,LAL,4,75,44,32,12,27,0,59.06,67.11,-8.05,22,7,24
356,Chris Morris,NJN,4,75,58,48,10,9,0,55.56,60.52,-4.96,32,4,7
76631,Mark Eaton,UTH,16,73,46,46,0,27,0,61.34,63.06,-1.72,26,0,21
904,Chris Mullin,GOS,4,71,63,51,12,14,0,46.71,51.33,-4.62,27,4,13
78318,Isiah Thomas,DET,5,70,65,54,11,28,0,41.42,45.27,-3.85,22,4,22
78304,Terry Teagle,LAL,4,70,55,55,0,20,0,53.85,54.86,-1.01,27,0,16
891,Charles Oakley,NYK,12,64,58,58,0,27,0,44.76,45.79,-1.03,22,0,20
77377,Cliff Levingston,CHI,22,64,57,56,1,28,0,44.76,46.16,-1.4,25,0,14
96,Detlef Schrempf,IND,3,63,47,43,4,28,0,50.0,53.1,-3.1,18,2,25
21,Greg Anthony,NYK,12,63,46,34,12,33,0,45.99,52.05,-6.06,19,5,20
927,John Salley,DET,5,63,44,43,1,28,0,53.85,55.93,-2.08,20,0,23
80,Ken Norman,LAC,5,63,53,51,2,17,0,50.4,52.08,-1.68,27,0,9
938,Rony Seikaly,MIA,3,62,35,35,0,32,0,60.78,63.16,-2.38,19,0,24
56,Gary Payton,SEA,8,61,58,56,2,12,0,46.92,48.2,-1.28,27,0,7
193,Anthony Mason,NYK,12,60,43,43,0,28,0,52.63,54.23,-1.6,19,0,22
156,Antoine Carr,SAN,3,59,44,42,2,16,0,55.66,57.8,-2.14,24,1,10
251,Sean Elliott,SAN,3,59,40,32,8,18,0,55.66,61.56,-5.9,19,5,16
9,Sedale Threatt,LAL,4,59,46,43,3,12,0,55.14,57.53,-2.39,24,2,9
293,Charles Smith,LAC,5,58,56,56,0,15,0,45.67,46.33,-0.66,22,0,14
779,Glen Rice,MIA,3,57,64,52,12,7,0,38.78,42.49,-3.71,24,3,6
104,Benoit Benjamin,SEA,9,55,41,40,1,18,0,54.46,56.21,-1.75,23,0,9
78615,Orlando Woolridge,DET,5,55,52,52,0,16,0,45.83,46.58,-0.75,23,0,9
351,Stacey King,CHI,14,53,40,38,2,23,0,50.48,52.87,-2.39,18,2,15
344,Dana Barros,SEA,7,52,40,23,17,0,0,53.61,65.0,-11.39,21,10,0
920,A.C. Green,LAL,4,51,39,39,0,23,0,50.5,51.91,-1.41,16,0,19
456,Chuck Person,IND,3,51,47,32,15,12,0,42.15,48.78,-6.63,19,5,8
423,Chris Gatling,GOS,4,50,29,29,0,22,0,62.5,64.63,-2.13,18,0,14
53,Mario Elie,GOS,4,50,36,34,2,3,0,64.94,66.99,-2.05,23,2,2
52,Micheal Williams,IND,3,50,43,34,9,15,0,45.45,50.4,-4.95,18,3,11
76316,Steve Burtt,PHX,8,50,38,36,2,21,0,50.51,52.92,-2.41,16,0,18
244,Dee Brown,BOS,6,48,44,41,3,6,0,49.48,51.46,-1.98,22,0,4
120,Steven Smith,MIA,3,48,34,23,11,6,0,56.47,65.5,-9.03,18,7,5
210,Terrell Brandon,CLE,12,47,55,52,3,4,0,40.17,41.4,-1.23,22,0,3
457,Andrew Lang,PHX,8,45,40,40,0,19,0,45.45,46.53,-1.08,15,0,15
1449,Larry Bird,BOS,4,45,42,37,5,4,0,48.39,51.42,-3.03,21,0,3
76016,Mark Aguirre,DET,5,45,48,43,5,16,0,38.46,40.88,-2.42,16,1,12
781,Will Perdue,CHI,18,45,37,36,1,20,0,47.37,49.13,-1.76,18,0,9
70,Steve Kerr,CLE,12,44,41,30,11,5,0,44.9,50.93,-6.03,18,3,5
77034,Craig Hodges,CHI,17,42,41,21,20,2,0,40.38,50.14,-9.76,16,9,1
100263,Bill Laimbeer,DET,5,41,46,36,10,5,0,38.32,42.53,-4.21,17,2,5
922,Elden Campbell,LAL,4,40,37,37,0,18,0,43.48,44.52,-1.04,14,0,12
262,Michael Cage,SEA,9,39,34,34,0,1,0,56.52,56.62,-0.1,19,0,1
124,Vlade Divac,LAL,4,39,43,41,2,10,0,39.8,41.14,-1.34,15,0,9
302,Mookie Blaylock,NJN,4,38,55,49,6,4,0,31.67,33.47,-1.8,17,1,3
3,Grant Long,MIA,3,37,36,32,4,10,0,43.02,45.79,-2.77,15,0,7
76217,Sam Bowie,NJN,4,37,33,31,2,12,0,46.25,48.33,-2.08,14,1,8
216,Brian Shaw,MIA,3,36,30,25,5,8,0,49.32,53.7,-4.38,14,3,5
23,Dennis Rodman,DET,5,36,27,25,2,8,0,56.25,58.98,-2.73,16,0,4
78404,Kiki Vandeweghe,NYK,8,36,24,19,5,7,0,60.0,66.47,-6.47,13,4,6
229,James Edwards,LAC,5,32,24,24,0,19,0,47.76,49.44,-1.68,10,0,12
770,Mark West,PHX,8,32,19,19,0,8,0,69.57,71.05,-1.48,14,0,4
393,Rod Strickland,SAN,2,31,22,22,0,8,0,59.62,60.74,-1.12,13,0,5
296,Rick Fox,BOS,8,29,23,17,6,4,0,51.79,58.56,-6.77,11,3,4
371,Terry Mills,NJN,4,27,27,26,1,11,0,40.91,42.4,-1.49,10,0,7
78035,Delaney Rudd,UTH,10,25,21,14,7,4,0,47.17,54.92,-7.75,10,2,3
77167,Vinnie Johnson,SAN,3,25,24,20,4,2,0,46.3,50.24,-3.94,11,2,1
902,Bimbo Coles,MIA,3,23,10,9,1,10,0,74.19,79.86,-5.67,7,1,8
77697,Ed Nealy,PHX,8,23,18,5,13,4,0,43.4,58.2,-14.8,7,5,4
45,George McCloud,IND,2,23,12,6,6,11,0,56.1,68.29,-12.19,6,3,8
95,Mark Bryant,POR,12,23,29,29,0,4,0,37.1,37.39,-0.29,10,0,3
76942,Bob Hansen,CHI,9,22,22,16,6,3,0,41.51,47.17,-5.66,9,3,1
202,Gary Grant,LAC,5,22,21,19,2,2,0,47.83,50.27,-2.44,10,0,2
313,Vern Fleming,IND,3,21,18,18,0,3,0,53.85,54.35,-0.5,10,0,1
170,Joe Kleine,BOS,9,20,22,21,1,2,0,42.55,43.71,-1.16,9,0,2
359,Chucky Brown,LAL,3,19,19,18,1,6,0,42.22,43.9,-1.68,8,0,3
198,Danny Ferry,CLE,9,19,15,12,3,4,0,51.35,56.68,-5.33,7,1,4
428,Sherman Douglas,BOS,6,19,25,23,2,2,0,35.19,36.71,-1.52,9,0,1
919,Loy Vaught,LAC,5,17,11,10,1,2,0,68.0,71.55,-3.55,7,1,2
175,Alton Lister,GOS,4,16,15,15,0,5,0,45.71,46.51,-0.8,6,0,4
941,Ennis Whatley,POR,15,16,20,19,1,4,0,35.56,36.76,-1.2,6,0,4
78,LaSalle Thompson,IND,3,16,11,11,0,2,0,66.67,67.34,-0.67,7,0,2
178,Olden Polynice,LAC,5,16,12,12,0,6,0,53.33,54.64,-1.31,7,0,2
140,Donald Royal,SAN,3,15,9,9,0,9,0,55.56,57.87,-2.31,5,0,5
236,Kevin Edwards,MIA,3,15,13,13,0,8,0,44.12,45.4,-1.28,5,0,5
76801,Tate George,NJN,4,15,23,23,0,3,0,30.61,30.84,-0.23,7,0,1
201,Chris Dudley,NJN,4,14,14,14,0,8,0,38.89,39.95,-1.06,5,0,4
78375,Trent Tucker,SAN,3,14,14,9,5,1,0,41.18,48.48,-7.3,6,1,1
173,Keith Askins,MIA,3,13,11,6,5,2,0,44.83,54.71,-9.88,5,3,0
77879,Paul Pressey,SAN,3,13,18,16,2,0,0,34.21,36.11,-1.9,6,1,0
76001,Alaa Abdelnaby,POR,8,12,10,10,0,4,0,50.0,51.02,-1.02,5,0,2
184,Bobby Phills,CLE,5,11,9,8,1,4,0,47.83,51.12,-3.29,4,0,3
77986,Cliff T. Robinson,LAL,3,11,10,10,0,8,0,39.29,40.68,-1.39,3,0,5
123,Robert Pack,POR,14,11,18,18,0,4,0,27.5,27.83,-0.33,4,0,3
76482,Corey Crowder,UTH,4,10,9,7,2,1,0,47.62,52.97,-5.35,5,0,0
78437,Darrell Walker,DET,5,10,9,9,0,4,0,45.45,46.47,-1.02,3,0,4
22,Rik Smits,IND,3,10,11,11,0,2,0,41.67,42.09,-0.42,4,0,2
76876,Sidney Green,SAN,3,9,10,10,0,4,0,37.5,38.27,-0.77,3,0,3
76268,Tony Brown,SEA,5,9,6,2,4,7,0,39.13,49.56,-10.43,2,1,4
905,Dale Davis,IND,3,8,10,10,0,0,0,40.0,40.0,0.0,4,0,0
785,Eric Murdock,UTH,3,8,5,4,1,2,0,61.54,68.03,-6.49,3,0,2
72,Kenny Anderson,NJN,3,8,9,9,0,2,0,40.0,40.49,-0.49,3,0,2
738,Bob Thornton,UTH,7,7,5,5,0,4,0,50.0,51.78,-1.78,2,0,3
357,Greg Sutton,SAN,2,7,6,4,2,3,0,41.18,47.81,-6.63,2,0,3
380,Tony Smith,LAL,4,7,10,8,2,2,0,29.17,32.17,-3.0,3,0,1
2349,Victor Alexander,GOS,4,7,5,5,0,1,0,63.64,64.34,-0.7,3,0,1
737,Bob McCann,DET,1,6,6,6,0,0,0,50.0,50.0,0.0,3,0,0
78110,Brad Sellers,DET,2,6,4,4,0,2,0,60.0,61.48,-1.48,2,0,2
78589,Kennard Winchester,NYK,3,6,5,5,0,1,0,54.55,55.15,-0.6,3,0,0
77019,Rod Higgins,GOS,2,6,5,3,2,2,0,42.86,51.02,-8.16,2,0,2
238,Tyrone Hill,GOS,4,6,7,7,0,2,0,37.5,38.07,-0.57,3,0,0
76138,William Bedford,DET,1,6,6,6,0,0,0,50.0,50.0,0.0,3,0,0
912,Rafael Addison,NJN,1,5,7,5,2,0,0,31.25,35.71,-4.46,2,1,0
600009,Rory Sparrow,LAL,3,5,4,4,0,4,0,41.67,43.4,-1.73,1,0,3
78633,Danny Young,LAC,3,4,4,2,2,0,0,40.0,50.0,-10.0,2,0,0
1080,Henry James,CLE,8,4,10,7,3,4,0,14.81,17.01,-2.2,1,0,2
