player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
406,Shaquille O'Neal,LAL,23,707,505,505,0,296,631,54.13,55.65,-1.51,461,484,52.49,0,0,,69,61,44.2,0,0,,44,108,81.82,0,0,,0,0,,1,2,100.0,0,0,,0,0,,1,1,50.0,55,51,46.36,286,0,135
397,Reggie Miller,IND,22,527,385,238,147,129,449,50.38,59.65,-9.27,233,222,47.64,146,171,39.04,28,53,94.64,3,7,77.78,5,15,100.0,1,4,100.0,8,10,100.0,2,3,75.0,0,0,,0,0,,1,1,100.0,22,41,95.35,174,58,121
147,Jalen Rose,IND,23,478,391,321,70,132,458,48.58,53.22,-4.64,317,274,43.22,70,90,42.86,30,47,78.33,0,0,,4,11,91.67,0,0,,4,4,100.0,1,0,0.0,0,0,,0,0,,1,1,100.0,31,51,82.26,171,30,106
977,Kobe Bryant,LAL,22,465,394,330,64,126,452,47.55,51.73,-4.19,318,280,44.03,64,66,34.38,35,53,75.71,0,0,,12,34,94.44,0,0,,3,2,50.0,0,0,,0,0,,0,0,,0,0,,20,30,75.0,174,22,95
84,Latrell Sprewell,NYK,16,299,266,236,30,88,309,46.0,49.06,-3.06,232,192,41.38,30,30,33.33,28,41,73.21,0,0,,4,12,100.0,0,0,,2,2,100.0,1,2,100.0,0,0,,0,0,,0,0,,12,20,83.33,110,10,69
739,Rasheed Wallace,POR,16,286,225,212,13,75,257,53.16,55.43,-2.27,201,182,45.27,13,24,61.54,21,36,85.71,0,0,,11,30,90.91,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,11,14,63.64,110,8,58
779,Glen Rice,LAL,23,285,228,161,67,89,277,46.57,53.34,-6.77,157,122,38.85,66,81,40.91,23,34,73.91,1,2,66.67,4,12,100.0,1,4,100.0,16,14,82.35,0,0,,0,0,,0,0,,0,0,,9,16,88.89,93,28,71
275,Allan Houston,NYK,16,281,235,197,38,65,269,49.04,53.3,-4.26,195,164,42.05,38,57,50.0,17,29,85.29,0,0,,2,6,100.0,0,0,,5,5,100.0,0,0,,0,0,,0,0,,0,0,,12,20,83.33,103,19,56
120,Steven Smith,POR,16,274,181,128,53,78,222,55.58,63.63,-8.05,123,108,43.9,53,87,54.72,8,14,87.5,0,0,,5,15,100.0,0,0,,9,9,100.0,0,0,,0,0,,0,0,,0,0,,24,41,85.42,88,29,69
252,Karl Malone,UTA,10,272,198,196,2,79,234,57.02,58.43,-1.41,189,188,49.74,2,6,100.0,27,45,83.33,0,0,,7,19,90.48,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,8,12,75.0,103,2,64
947,Allen Iverson,PHI,10,262,237,198,39,92,281,43.31,47.21,-3.9,194,150,38.66,39,36,30.77,15,17,56.67,4,9,75.0,4,10,83.33,0,0,,4,4,100.0,0,0,,0,0,,0,0,,0,0,,21,36,85.71,91,12,68
22,Rik Smits,IND,22,241,207,206,1,40,225,52.97,53.65,-0.68,202,198,49.01,1,0,0.0,9,15,83.33,0,0,,4,12,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,9,16,88.89,103,0,35
937,Scottie Pippen,POR,16,239,198,128,70,70,232,44.59,52.23,-7.64,126,120,47.62,70,63,30.0,17,26,76.47,0,0,,2,5,83.33,0,0,,0,0,,1,1,50.0,0,0,,0,0,,0,0,,16,24,75.0,83,21,52
297,Alonzo Mourning,MIA,10,216,157,156,1,96,202,52.55,54.21,-1.65,150,140,46.67,1,0,0.0,29,39,67.24,0,0,,6,15,83.33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,16,22,68.75,76,0,64
1506,Austin Croshere,IND,23,216,153,116,37,87,196,50.23,56.46,-6.23,115,96,41.74,37,45,40.54,22,36,81.82,0,0,,1,3,100.0,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,20,34,85.0,64,15,73
696,Travis Best,IND,23,204,179,149,30,44,200,47.22,51.42,-4.2,147,124,42.18,30,39,43.33,7,13,92.86,0,0,,2,5,83.33,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,13,21,80.77,77,13,37
121,Patrick Ewing,NYK,14,204,170,170,0,89,211,47.55,48.77,-1.21,163,128,39.26,0,0,,26,37,71.15,0,0,,7,20,95.24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,15,19,63.33,71,0,62
166,Ron Harper,LAL,23,198,181,142,39,47,203,44.2,49.09,-4.89,139,132,47.48,39,27,23.08,12,17,70.83,0,0,,3,8,88.89,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,14,70.0,78,9,33
905,Dale Davis,IND,23,190,151,151,0,59,178,52.63,53.68,-1.05,146,148,50.68,0,0,,19,20,52.63,0,0,,5,13,86.67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,8,9,56.25,79,0,32
349,Mark Jackson,IND,23,187,176,109,67,31,190,41.56,49.3,-7.75,106,90,42.45,67,63,31.34,9,16,88.89,0,0,,3,9,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,9,90.0,69,21,28
358,Anfernee Hardaway,PHX,9,183,145,126,19,62,172,49.33,53.11,-3.79,118,108,45.76,19,15,26.32,21,34,80.95,0,0,,8,19,79.17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,7,58.33,67,5,44
717,Arvydas Sabonis,POR,16,181,150,129,21,49,172,48.92,52.75,-3.83,124,114,45.97,21,18,28.57,17,26,76.47,0,0,,5,13,86.67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,10,100.0,68,6,39
913,Larry Johnson,NYK,16,180,152,119,33,34,169,48.52,53.91,-5.39,119,114,47.9,33,39,39.39,11,18,81.82,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,9,75.0,70,13,27
469,Jamal Mashburn,MIA,10,175,157,124,33,42,178,44.99,49.86,-4.88,124,100,40.32,33,39,39.39,9,16,88.89,1,3,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,10,16,80.0,63,13,36
109,Robert Horry,LAL,23,175,145,86,59,57,172,43.1,51.45,-8.34,82,76,46.34,59,51,28.81,10,16,80.0,0,0,,4,12,100.0,0,0,,0,0,,1,1,50.0,0,0,,0,0,,1,1,100.0,15,18,60.0,59,17,40
361,Clifford Robinson,PHX,9,158,145,105,40,45,167,42.13,47.94,-5.8,102,80,39.22,40,39,32.5,13,18,69.23,0,0,,3,8,88.89,0,0,,3,4,100.0,0,0,,0,0,,0,0,,0,0,,6,9,75.0,56,13,33
369,Charlie Ward,NYK,16,150,113,60,53,21,123,50.0,61.35,-11.35,57,66,57.89,53,63,39.62,5,9,90.0,0,0,,3,7,77.78,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,4,4,57.14,57,21,15
757,Damon Stoudamire,POR,16,142,135,105,30,24,145,43.83,48.78,-4.95,101,84,41.58,30,30,33.33,4,8,100.0,0,0,,4,10,83.33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,10,83.33,56,10,20
935,Bryon Russell,UTA,10,140,114,69,45,41,133,44.59,53.01,-8.43,67,66,49.25,45,39,28.89,11,17,77.27,1,1,33.33,2,6,100.0,0,0,,1,2,100.0,0,0,,0,0,,0,0,,0,0,,6,9,75.0,48,13,31
243,Aaron McKie,PHI,10,138,103,68,35,31,117,50.74,59.16,-8.42,63,66,52.38,34,33,32.35,6,10,83.33,0,0,,5,15,100.0,1,4,100.0,3,1,33.33,0,0,,0,0,,0,0,,0,0,,5,9,90.0,50,12,26
689,Theo Ratliff,PHI,10,130,101,101,0,47,122,52.21,53.42,-1.21,96,86,44.79,0,0,,18,27,75.0,0,0,,5,13,86.67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,4,66.67,48,0,34
56,Gary Payton,SEA,5,129,113,90,23,26,126,46.91,51.83,-4.92,88,78,44.32,23,27,39.13,5,9,90.0,0,0,,2,5,83.33,0,0,,2,1,50.0,0,0,,0,0,,0,0,,0,0,,6,9,75.0,50,9,20
915,Rodney Rogers,PHX,9,127,115,79,36,31,129,42.76,49.36,-6.6,76,74,48.68,36,24,22.22,13,19,73.08,0,0,,3,8,88.89,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,2,100.0,48,8,23
238,Tyrone Hill,PHI,10,123,100,99,1,44,122,50.2,51.52,-1.32,98,90,45.92,1,0,0.0,19,27,71.05,0,0,,1,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,3,50.0,46,0,31
185,Chris Webber,SAC,5,122,110,105,5,34,125,47.1,48.82,-1.71,101,84,41.58,5,3,20.0,14,21,75.0,0,0,,4,12,100.0,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,0,0,,47,1,27
216,Brian Shaw,LAL,21,119,107,59,48,16,115,42.81,52.17,-9.37,59,58,49.15,48,48,33.33,3,6,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,7,70.0,45,16,13
204,Jeff Hornacek,UTA,10,115,102,80,22,24,115,46.0,51.08,-5.08,80,68,42.5,21,24,38.1,5,9,90.0,0,0,,0,0,,1,4,100.0,3,1,33.33,0,0,,0,0,,0,0,,0,0,,5,9,90.0,43,9,20
304,John Stockton,UTA,10,112,89,71,18,30,105,49.56,54.79,-5.24,71,68,47.89,18,21,38.89,3,5,83.33,1,1,33.33,0,0,,0,0,,3,3,100.0,0,0,,0,0,,0,0,,0,0,,9,14,77.78,41,7,23
951,Ray Allen,MIL,5,110,90,64,26,22,101,48.25,55.18,-6.93,62,56,45.16,26,30,38.46,6,12,100.0,0,0,,2,6,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,4,5,71.43,40,10,20
64,Sam Perkins,IND,23,110,105,39,66,21,115,37.04,48.14,-11.11,38,20,26.32,66,69,34.85,8,15,93.75,0,0,,1,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,3,75.0,34,23,19
1719,Bonzi Wells,POR,14,105,83,73,10,41,101,48.39,51.96,-3.57,68,60,44.12,10,6,20.0,13,19,73.08,0,0,,5,15,100.0,0,0,,0,0,,1,1,50.0,0,0,,0,0,,0,0,,4,4,50.0,37,2,29
296,Rick Fox,LAL,21,100,73,34,39,21,83,48.54,60.8,-12.25,32,26,40.62,39,54,46.15,6,8,66.67,0,0,,2,5,83.33,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,3,6,100.0,33,18,16
965,Derek Fisher,LAL,19,99,79,50,29,25,91,46.7,55.0,-8.3,49,42,42.86,29,36,41.38,6,9,75.0,0,0,,1,3,100.0,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,5,7,70.0,34,12,19
764,David Robinson,SAS,4,94,83,82,1,42,101,44.98,46.31,-1.34,76,50,32.89,1,0,0.0,11,15,68.18,0,0,,6,17,94.44,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,7,12,85.71,31,0,32
389,Toni Kukoc,PHI,10,93,93,59,34,17,101,39.24,46.28,-7.04,58,48,41.38,34,33,32.35,5,5,50.0,0,0,,1,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,4,66.67,36,11,10
105,Dan Majerle,MIA,10,90,71,21,50,14,78,43.69,58.32,-14.63,18,14,38.89,50,60,40.0,2,3,75.0,0,0,,3,9,100.0,0,0,,3,2,66.67,0,0,,0,0,,0,0,,0,0,,2,2,50.0,30,20,10
920,A.C. Green,LAL,23,90,90,90,0,23,100,44.33,44.95,-0.61,87,68,39.08,0,0,,3,5,83.33,0,0,,3,8,88.89,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,6,7,58.33,37,0,16
164,Chris Childs,NYK,16,87,70,42,28,28,83,44.39,52.84,-8.45,40,32,40.0,28,27,32.14,3,5,83.33,0,0,,2,6,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,17,85.0,27,9,24
258,Brian Grant,POR,14,87,65,65,0,39,84,51.48,52.95,-1.47,64,56,43.75,0,0,,13,22,84.62,0,0,,1,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,6,50.0,29,0,29
96,Detlef Schrempf,POR,15,84,56,50,6,47,81,50.91,54.77,-3.86,50,42,42.0,6,3,16.67,10,16,80.0,0,0,,0,0,,0,0,,3,3,100.0,0,0,,0,0,,0,0,,0,0,,12,20,83.33,22,1,39
1890,Shawn Marion,PHX,9,82,86,80,6,11,91,43.39,45.13,-1.75,79,68,43.04,6,3,16.67,3,4,66.67,0,0,,1,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,4,100.0,36,1,9
