player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff,total_fgm,total_fg3m,total_ftm
201142,Kevin Durant,OKC,82,2470,1668,1317,351,838,2069,54.59,60.64,-6.05,1262,1222,48.42,350,381,36.29,246,435,88.41,21,57,90.48,55,160,96.97,1,4,100.0,49,56,98.25,0,0,,0,0,,0,0,,1,1,100.0,84,154,91.12,794,128,754
2544,LeBron James,CLE,76,2251,1528,1141,387,765,1881,53.49,60.36,-6.87,1059,1114,52.6,387,387,33.33,247,372,75.3,2,4,66.67,82,229,93.09,0,0,,26,23,85.19,0,0,,0,0,,0,0,,0,0,,78,122,78.21,768,129,586
2548,Dwyane Wade,MIA,77,2043,1511,1268,243,700,1829,51.53,56.16,-4.63,1196,1148,47.99,242,216,29.75,240,361,75.21,6,16,88.89,72,199,92.13,1,3,75.0,16,12,63.16,3,6,100.0,0,0,,0,0,,0,0,,53,82,77.36,719,73,532
1717,Dirk Nowitzki,DAL,81,2027,1496,1375,121,586,1790,54.8,57.79,-2.99,1334,1256,47.08,121,153,42.15,174,316,90.8,2,6,100.0,41,119,96.75,0,0,,46,43,91.49,1,2,100.0,0,0,,0,0,,0,0,,71,132,92.96,720,51,536
977,Kobe Bryant,LAL,73,1967,1568,1267,301,537,1820,49.5,54.51,-5.01,1223,1146,46.85,299,291,32.44,179,288,80.45,4,8,66.67,44,126,95.45,2,8,100.0,22,20,74.07,0,0,,0,0,,0,0,,0,0,,47,80,85.11,716,99,436
2546,Carmelo Anthony,DEN,69,1941,1502,1315,187,610,1788,51.07,54.82,-3.75,1256,1140,45.38,187,177,31.55,194,325,83.76,2,5,83.33,59,168,94.92,0,0,,25,21,77.78,0,0,,0,0,,0,0,,0,0,,65,105,80.77,688,59,506
2405,Amar'e Stoudemire,PHX,82,1896,1264,1258,6,632,1542,59.89,61.48,-1.59,1177,1244,52.85,6,3,16.67,232,358,77.16,0,0,,81,228,93.83,0,0,,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,41,58,70.73,704,1,487
2216,Zach Randolph,MEM,81,1681,1336,1284,52,465,1544,52.71,54.56,-1.84,1222,1150,47.05,52,45,28.85,144,225,78.12,0,0,,62,169,90.86,0,0,,14,12,80.0,0,0,,0,0,,0,0,,0,0,,50,80,80.0,652,15,362
2547,Chris Bosh,TOR,70,1678,1158,1136,22,590,1421,57.31,59.18,-1.88,1072,1056,49.25,22,24,36.36,219,354,80.82,0,0,,64,176,91.67,0,0,,0,0,,1,2,100.0,0,0,,0,0,,0,0,,43,66,76.74,600,8,470
1536,Stephen Jackson,GSW,81,1664,1418,1025,393,430,1630,45.48,51.77,-6.29,987,866,43.87,393,387,32.82,133,199,74.81,3,8,88.89,38,108,94.74,0,0,,38,32,78.05,0,0,,0,0,,0,0,,0,0,,38,64,84.21,600,129,335
101135,David Lee,NYK,81,1640,1258,1250,8,330,1398,57.46,58.44,-0.97,1198,1268,52.92,8,0,0.0,124,208,83.87,0,0,,52,143,91.67,0,0,,2,2,100.0,0,0,,0,0,,0,0,,0,0,,14,19,67.86,686,0,268
101145,Monta Ellis,GSW,64,1629,1406,1178,228,386,1582,47.55,51.69,-4.14,1143,1038,45.41,228,231,33.77,135,198,73.33,5,11,73.33,35,97,92.38,0,0,,6,4,66.67,1,2,100.0,0,0,,0,0,,0,0,,29,48,82.76,631,77,290
2207,Joe Johnson,ATL,76,1619,1386,1036,350,269,1525,47.74,53.81,-6.07,1020,980,48.04,349,384,36.68,73,119,81.51,3,5,55.56,16,45,93.75,1,4,100.0,30,24,77.42,0,0,,0,0,,0,0,,0,0,,33,58,87.88,635,129,220
201565,Derrick Rose,CHI,78,1617,1373,1313,60,336,1527,51.46,53.16,-1.7,1282,1250,48.75,60,48,26.67,119,185,77.73,0,0,,31,85,91.4,0,0,,2,2,100.0,0,0,,0,0,,0,0,,0,0,,33,47,72.31,672,16,257
201166,Aaron Brooks,HOU,82,1604,1331,806,525,298,1481,46.03,54.85,-8.83,786,692,44.02,522,618,39.46,57,92,80.7,7,14,66.67,20,58,96.67,3,12,100.0,33,32,91.43,0,0,,0,0,,0,0,,1,1,100.0,52,85,81.73,575,209,245
200752,Rudy Gay,MEM,80,1567,1288,1086,202,398,1470,49.34,53.55,-4.21,1049,994,47.38,202,198,32.67,153,232,75.82,0,0,,37,104,93.69,0,0,,3,1,33.33,0,0,,0,0,,0,0,,0,0,,26,38,73.08,600,66,301
201572,Brook Lopez,NJN,82,1542,1129,1127,2,509,1366,55.69,56.99,-1.3,1078,1028,47.68,2,0,0.0,190,310,81.58,0,0,,49,136,92.52,0,0,,13,11,78.57,0,0,,0,0,,0,0,,1,0,0.0,33,57,86.36,563,0,416
2561,David West,NOP,81,1541,1226,1199,27,342,1383,54.63,55.98,-1.35,1162,1150,49.48,27,21,25.93,105,183,87.14,0,0,,37,110,99.1,0,0,,9,10,100.0,0,0,,0,0,,0,0,,1,1,100.0,42,66,78.57,619,7,296
2430,Carlos Boozer,UTA,78,1519,1098,1098,0,384,1259,58.88,59.95,-1.07,1035,1108,53.53,0,0,,137,205,74.82,0,0,,63,173,91.53,0,0,,1,1,100.0,0,0,,0,0,,0,0,,0,0,,23,32,69.57,617,0,285
2730,Dwight Howard,ORL,82,1503,834,827,7,816,1210,60.34,62.99,-2.65,760,886,58.29,7,0,0.0,287,353,61.5,0,0,,67,171,85.07,0,0,,2,1,25.0,2,2,50.0,0,0,,0,0,,2,1,50.0,83,89,53.61,510,0,483
101122,Danny Granger,IND,62,1497,1139,701,438,428,1345,47.61,56.39,-8.78,664,586,44.13,436,468,35.78,129,214,82.95,11,28,84.85,37,106,95.5,2,7,87.5,37,35,89.74,1,1,50.0,0,0,,0,0,,0,0,,28,52,91.23,488,158,363
201936,Tyreke Evans,SAC,72,1449,1165,1024,141,463,1378,49.39,52.93,-3.55,975,896,45.95,141,108,25.53,158,235,74.37,0,0,,49,132,89.8,0,0,,13,12,85.71,0,0,,0,0,,0,0,,0,0,,42,66,78.57,533,36,347
201564,O.J. Mayo,MEM,82,1427,1183,828,355,256,1311,47.93,55.07,-7.14,800,756,47.25,355,408,38.31,63,98,77.78,2,6,100.0,28,80,95.24,0,0,,30,28,93.33,0,0,,0,0,,0,0,,0,0,,33,51,77.27,542,136,207
1497,Chauncey Billups,DEN,73,1427,962,555,407,512,1228,50.19,60.1,-9.9,532,444,41.73,407,471,38.57,131,239,91.22,11,31,93.94,23,66,95.65,0,0,,55,51,91.07,0,0,,0,0,,0,0,,0,0,,69,125,90.58,402,157,466
2037,Jamal Crawford,ATL,79,1423,1105,678,427,313,1259,48.24,57.25,-9.02,661,632,47.81,418,462,36.84,82,136,82.93,8,21,87.5,17,49,96.08,9,36,100.0,29,28,93.33,0,0,,0,0,,0,0,,0,0,,35,59,84.29,496,163,268
101114,Deron Williams,UTA,76,1419,1053,794,259,416,1247,51.02,57.4,-6.38,757,722,47.69,257,282,36.58,125,199,79.6,3,6,66.67,37,106,95.5,2,7,87.5,12,11,91.67,0,0,,0,0,,0,0,,0,0,,54,86,79.63,494,96,335
2549,Chris Kaman,LAC,76,1408,1202,1196,6,307,1339,51.82,52.65,-0.83,1163,1112,47.81,6,0,0.0,110,163,74.09,0,0,,33,93,93.94,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,27,40,74.07,589,0,230
201939,Stephen Curry,GSW,79,1399,1143,763,380,200,1239,48.81,56.82,-8.01,748,694,46.39,378,492,43.39,51,94,92.16,2,5,83.33,15,41,91.11,2,7,87.5,11,10,90.91,1,2,100.0,0,0,,0,0,,0,0,,31,54,87.1,528,166,177
200750,Brandon Roy,POR,65,1398,1038,817,221,440,1237,51.08,56.76,-5.68,778,758,48.71,221,219,33.03,134,213,79.48,10,23,76.67,39,106,90.6,0,0,,7,5,71.43,0,0,,0,0,,0,0,,0,0,,48,74,77.08,491,73,343
2738,Andre Iguodala,PHI,82,1397,1120,817,303,426,1329,47.05,53.43,-6.37,787,744,47.27,303,282,31.02,144,212,73.61,7,13,61.9,30,84,93.33,0,0,,29,23,79.31,0,0,,0,0,,0,0,,0,0,,29,39,67.24,496,94,311
