player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts
1495,Tim Duncan,SAS,200710300SAS,"Oct 30, 2007",POR,24,15,7,18,64.86,66.37,-1.51,14,18,0,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
200746,LaMarcus Aldridge,POR,200710300SAS,"Oct 30, 2007",SAS,27,19,3,20,65.85,66.44,-0.59,18,22,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,Michael Finley,SAS,200710300SAS,"Oct 30, 2007",POR,9,11,0,11,33.33,40.91,-7.58,6,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,Joel Przybilla,POR,200710300SAS,"Oct 30, 2007",SAS,13,5,6,8,81.25,85.08,-3.83,5,8,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200750,Brandon Roy,POR,200710300SAS,"Oct 30, 2007",SAS,7,10,4,12,26.92,29.76,-2.84,8,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101177,Fabricio Oberto,SAS,200710300SAS,"Oct 30, 2007",POR,6,4,0,4,75.0,75.0,0.0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225,Tony Parker,SAS,200710300SAS,"Oct 30, 2007",POR,19,14,6,17,54.29,57.09,-2.8,13,14,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101110,Martell Webster,POR,200710300SAS,"Oct 30, 2007",SAS,21,15,0,15,58.33,70.0,-11.67,9,12,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101127,Jarrett Jack,POR,200710300SAS,"Oct 30, 2007",SAS,5,6,0,6,38.46,41.67,-3.21,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,Bruce Bowen,POR,200710300SAS,"Oct 30, 2007",SAS,0,5,0,5,0.0,0.0,0.0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
