player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts
hilarne01,N. HilÃ¡rio,WAS,201504180TOR,"Apr 18, 2015",TOR,12,13,2,14,42.86,43.23,-0.37,13,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202685,Jonas Valančiūnas,TOR,201504180TOR,"Apr 18, 2015",WAS,6,7,0,7,42.86,42.86,0.0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203082,Terrence Ross,TOR,201504180TOR,"Apr 18, 2015",WAS,6,11,0,11,21.43,27.27,-5.84,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203078,Bradley Beal,TOR,201504180TOR,"Apr 18, 2015",WAS,16,23,5,25,27.59,31.75,-4.16,15,8,7,3,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
201946,Tyler Hansbrough,TOR,201504180TOR,"Apr 18, 2015",WAS,4,2,2,3,66.67,69.44,-2.77,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,Paul Pierce,WAS,201504180TOR,"Apr 18, 2015",TOR,20,10,2,11,68.97,91.91,-22.94,3,6,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
200768,Kyle Lowry,TOR,201504180TOR,"Apr 18, 2015",WAS,7,10,4,12,25.0,29.76,-4.76,6,4,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201942,DeMar DeRozan,TOR,201504180TOR,"Apr 18, 2015",WAS,15,20,5,22,32.61,33.78,-1.17,18,10,1,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101162,Marcin Gortat,WAS,201504180TOR,"Apr 18, 2015",TOR,8,6,2,7,57.14,58.14,-1.0,6,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202322,John Wall,WAS,201504180TOR,"Apr 18, 2015",TOR,10,18,0,18,26.32,27.78,-1.46,16,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,Drew Gooden,WAS,201504180TOR,"Apr 18, 2015",TOR,6,10,0,10,28.57,30.0,-1.43,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202335,Patrick Patterson,TOR,201504180TOR,"Apr 18, 2015",WAS,10,8,0,8,47.62,62.5,-14.88,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202338,Kevin Seraphin,WAS,201504180TOR,"Apr 18, 2015",TOR,10,10,0,10,50.0,50.0,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201196,Ramon Sessions,WAS,201504180TOR,"Apr 18, 2015",TOR,6,4,2,5,50.0,61.48,-11.48,2,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202349,Greivis Vasquez,TOR,201504180TOR,"Apr 18, 2015",WAS,10,6,0,6,62.5,83.33,-20.83,2,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101161,Amir Johnson,TOR,201504180TOR,"Apr 18, 2015",WAS,18,12,3,13,64.29,67.57,-3.28,10,14,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
101150,Lou Williams,TOR,201504180TOR,"Apr 18, 2015",WAS,10,16,0,16,25.0,31.25,-6.25,8,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203490,Otto Porter Jr.,WAS,201504180TOR,"Apr 18, 2015",TOR,5,5,2,6,35.71,42.52,-6.81,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203076,Anthony Davis,NOP,201504180GSW,"Apr 18, 2015",GSW,35,23,10,28,61.4,63.87,-2.47,22,26,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
