player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts,q1_pure_ts,q1_sp,q1_std_ts,q1_delta,q2_pure_ts,q2_sp,q2_std_ts,q2_delta,q3_pure_ts,q3_sp,q3_std_ts,q3_delta,q4_pure_ts,q4_sp,q4_std_ts,q4_delta,q1_pts,q1_fgm,q1_fga,q1_fg3m,q1_fg3a,q1_ftm,q1_fta,q2_pts,q2_fgm,q2_fga,q2_fg3m,q2_fg3a,q2_ftm,q2_fta,q3_pts,q3_fgm,q3_fga,q3_fg3m,q3_fg3a,q3_ftm,q3_fta,q4_pts,q4_fgm,q4_fga,q4_fg3m,q4_fg3a,q4_ftm,q4_fta
1630173,Precious Achiuwa,TOR,0022100006,"Oct 20, 2021",WAS,6,8,2,9,33.33,33.78,-0.45,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,25.0,0.0,50.0,2,50.0,0.0,33.33,3,34.72,-1.39,,0,,,2,1,4,0,0,0,0,2,1,2,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100020,"Oct 22, 2021",BOS,15,13,2,14,50.0,54.03,-4.03,11,10,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,6,16.67,-1.28,66.67,3,66.67,0.0,100.0,3,104.17,-4.17,60.0,2,75.0,-15.0,2,1,6,0,1,0,0,4,2,3,0,0,0,0,6,2,2,0,0,2,2,3,1,2,1,1,0,0
1630173,Precious Achiuwa,TOR,0022100029,"Oct 23, 2021",DAL,10,9,3,10,45.45,48.45,-3.0,7,6,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,37.5,3,43.6,-6.1,50.0,2,50.0,0.0,62.5,4,64.43,-1.93,0,0,1,0,0,0,0,3,1,3,0,1,1,1,2,1,2,0,0,0,0,5,2,3,0,0,1,2
1630173,Precious Achiuwa,TOR,0022100046,"Oct 25, 2021",CHI,11,12,4,14,36.67,39.97,-3.3,10,6,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,25.0,0.0,44.44,4,51.55,-7.1,0.0,3,0.0,0.0,83.33,3,86.81,-3.47,2,1,4,0,0,0,0,4,1,3,1,1,1,2,0,0,3,0,1,0,0,5,2,2,0,0,1,2
1630173,Precious Achiuwa,TOR,0022100058,"Oct 27, 2021",IND,10,9,4,11,43.48,46.47,-2.99,8,8,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,62.5,4,64.43,-1.93,33.33,3,33.33,0.0,50.0,3,52.08,-2.08,0,0,1,0,1,0,0,5,2,3,0,0,1,2,2,1,3,0,0,0,0,3,1,2,0,0,1,2
1630173,Precious Achiuwa,TOR,0022100071,"Oct 29, 2021",ORL,8,9,1,9,38.1,42.37,-4.28,6,6,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,50.0,2,50.0,0.0,54.55,5,55.15,-0.6,,0,,,0,0,2,0,2,0,0,2,1,2,0,0,0,0,6,3,5,0,0,0,1,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100081,"Oct 30, 2021",IND,4,9,0,9,20.0,22.22,-2.22,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,30.77,6,33.33,-2.56,0.0,2,0.0,0.0,,0,,,0,0,1,0,1,0,0,4,2,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100099,"Nov 01, 2021",NYK,2,9,0,9,10.53,11.11,-0.58,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,3,33.33,-4.76,0.0,3,0.0,0.0,,0,,,0.0,3,0.0,0.0,2,1,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100112,"Nov 03, 2021",WAS,6,9,2,10,30.0,30.36,-0.36,9,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,4,51.55,-1.55,0.0,4,0.0,0.0,100.0,1,100.0,0.0,0.0,1,0.0,0.0,4,1,3,0,0,2,2,0,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100127,"Nov 05, 2021",CLE,5,3,2,4,55.56,64.43,-8.88,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,2,50.0,-10.0,100.0,1,100.0,0.0,50.0,1,56.82,-6.82,,0,,,2,1,2,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
