PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,8,22,0.364,24,8,22,0.364,0.545
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,133,339,0.392,398,132,335,0.394,0.587
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,5,28,0.179,15,5,28,0.179,0.268
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,35,82,0.427,103,33,74,0.446,0.628
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,40,105,0.381,119,39,103,0.379,0.567
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,80,206,0.388,238,78,200,0.39,0.578
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,67,187,0.358,201,67,186,0.36,0.537
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,82,256,0.32,242,78,233,0.335,0.473
1641737,Adem Bona,1610612755,PHI,60,34,26,1045.0,2,7,0.286,6,2,6,0.333,0.429
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,0,1,0.0,0,0,1,0.0,0.0
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,36,117,0.308,107,35,112,0.313,0.457
201143,Al Horford,1610612744,GSW,43,22,21,933.0,72,194,0.371,210,66,185,0.357,0.541
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,44,137,0.321,131,43,135,0.319,0.478
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,0,0,,0,,,,
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,50,146,0.342,142,42,123,0.341,0.486
1642918,Alijah Martin,1610612761,TOR,16,6,10,102.0,4,12,0.333,11,3,11,0.273,0.458
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,5,12,0.417,15,5,12,0.417,0.625
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,41,116,0.353,105,23,82,0.28,0.453
1642873,Amari Williams,1610612738,BOS,19,13,6,120.0,0,1,0.0,0,,,,0.0
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,25,109,0.229,70,20,87,0.23,0.321
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,12,38,0.316,36,12,38,0.316,0.474
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,1,12,0.083,3,1,12,0.083,0.125
203083,Andre Drummond,1610612755,PHI,52,26,26,1039.0,22,70,0.314,66,22,68,0.324,0.471
1641748,Andre Jackson Jr.,1610612749,MIL,37,10,27,219.0,5,29,0.172,15,5,26,0.192,0.259
1629614,Andrew Nembhard,1610612754,IND,52,11,41,1621.0,57,139,0.41,167,53,133,0.398,0.601
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,94,244,0.385,280,92,236,0.39,0.574
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,85,199,0.427,255,85,198,0.429,0.641
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,65,183,0.355,192,62,175,0.354,0.525
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,16,49,0.327,40,8,30,0.267,0.408
1630162,Anthony Edwards,1610612750,MIN,58,35,23,2061.0,70,144,0.486,208,68,135,0.504,0.722
1630264,Anthony Gill,1610612764,WAS,42,5,37,568.0,8,28,0.286,23,7,26,0.269,0.411
1641810,Antonio Reeves,1610612766,CHA,9,3,6,66.0,5,10,0.5,15,5,10,0.5,0.75
1630574,Ariel Hukporti,1610612752,NYK,48,31,17,430.0,1,9,0.111,3,1,4,0.25,0.167
1642854,Asa Newell,1610612737,ATL,40,20,20,445.0,27,68,0.397,81,27,68,0.397,0.596
1641709,Ausar Thompson,1610612765,DET,60,43,17,1535.0,5,24,0.208,14,4,19,0.211,0.292
1630559,Austin Reaves,1610612747,LAL,44,31,13,1513.0,55,128,0.43,164,54,127,0.425,0.641
1630245,Ayo Dosunmu,1610612750,MIN,61,32,29,1615.0,92,212,0.434,274,90,210,0.429,0.646
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,109,308,0.354,305,87,269,0.323,0.495
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,58,150,0.387,172,56,148,0.378,0.573
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,10,44,0.227,30,10,43,0.233,0.341
1641767,Ben Sheppard,1610612754,IND,58,13,45,1246.0,71,191,0.372,210,68,187,0.364,0.55
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,47,118,0.398,130,36,101,0.356,0.551
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,1,7,0.143,3,1,7,0.143,0.214
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,47,145,0.324,141,47,143,0.329,0.486
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,0,0,,0,,,,
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,23,46,0.5,69,23,45,0.511,0.75
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,10,28,0.357,30,10,24,0.417,0.536
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,156,335,0.466,438,126,274,0.46,0.654
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,4,13,0.308,12,4,13,0.308,0.462
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,12,45,0.267,36,12,45,0.267,0.4
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,52,130,0.4,154,50,126,0.397,0.592
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,7,16,0.438,21,7,14,0.5,0.656
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,20,62,0.323,60,20,59,0.339,0.484
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,78,204,0.382,232,76,197,0.386,0.569
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,0,0,,0,,,,
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,120,289,0.415,338,98,243,0.403,0.585
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,123,310,0.397,365,119,295,0.403,0.589
