PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,4,3,16,3,5,0.6
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,31,5,143,110,144,0.764
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,9,2,37,21,26,0.808
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,18,7,130,54,79,0.684
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,19,4,31,23,31,0.742
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,24,22,126,72,122,0.59
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,52,26,146,77,118,0.653
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,54,32,151,121,165,0.733
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,23,74,150,109,207,0.527
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,5,2,13,13,17,0.765
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,65,14,134,45,67,0.672
201143,Al Horford,1610612744,GSW,43,22,21,933.0,30,50,171,92,157,0.586
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,67,15,103,29,40,0.725
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,0,0,2,0,0,0.0
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,38,93,239,226,409,0.553
1642918,Alijah Martin,1610612761,TOR,16,6,10,102.0,7,3,8,7,11,0.636
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,3,3,20,6,8,0.75
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,73,62,346,228,354,0.644
1642873,Amari Williams,1610612738,BOS,19,13,6,120.0,2,9,23,5,14,0.357
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,98,39,320,96,157,0.611
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,8,5,34,14,28,0.5
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,8,4,25,15,26,0.577
203083,Andre Drummond,1610612755,PHI,51,25,26,1015.0,31,38,276,112,160,0.7
1641748,Andre Jackson Jr.,1610612749,MIL,37,10,27,219.0,8,2,22,13,21,0.619
1629614,Andrew Nembhard,1610612754,IND,52,11,41,1621.0,49,7,123,84,117,0.718
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,64,59,190,152,214,0.71
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,27,8,104,79,103,0.767
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,86,41,188,110,150,0.733
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,22,33,159,67,125,0.536
1630162,Anthony Edwards,1610612750,MIN,58,35,23,2061.0,81,48,261,107,159,0.673
1630264,Anthony Gill,1610612764,WAS,42,5,37,568.0,18,16,65,58,88,0.659
1641810,Antonio Reeves,1610612766,CHA,9,3,6,66.0,1,0,6,2,2,1.0
1630574,Ariel Hukporti,1610612752,NYK,48,31,17,430.0,8,23,89,51,90,0.567
1642854,Asa Newell,1610612737,ATL,40,20,20,445.0,15,13,44,43,70,0.614
1641709,Ausar Thompson,1610612765,DET,60,43,17,1535.0,111,52,224,76,123,0.618
1630559,Austin Reaves,1610612747,LAL,44,31,13,1513.0,48,17,180,106,132,0.803
1630245,Ayo Dosunmu,1610612750,MIN,61,32,29,1615.0,48,14,146,81,120,0.675
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,70,43,467,160,254,0.63
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,36,5,177,55,83,0.663
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,26,5,39,50,70,0.714
1641767,Ben Sheppard,1610612754,IND,58,13,45,1245.0,35,5,138,65,85,0.765
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,35,11,203,78,106,0.736
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,8,3,8,7,11,0.636
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,64,43,168,73,127,0.575
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,4,1,15,13,17,0.765
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,1,1,16,7,10,0.7
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,16,3,22,13,19,0.684
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,40,12,336,151,217,0.696
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,3,0,13,4,7,0.571
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,10,1,49,36,45,0.8
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,32,14,79,63,78,0.808
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,3,0,3,6,7,0.857
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,6,18,68,48,77,0.623
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,77,12,296,112,147,0.762
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,2,0,2,2,5,0.4
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,52,47,319,119,181,0.657
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,58,40,210,100,152,0.658
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,55,19,148,89,112,0.795
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,47,9,144,92,117,0.786
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,11,2,11,19,21,0.905
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,38,66,163,147,275,0.535
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,6,4,47,11,20,0.55
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,72,17,192,101,127,0.795
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,27,8,76,71,98,0.724
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,44,15,220,112,153,0.732
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,0,0,0,1,1,1.0
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,37,9,82,59,88,0.67
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,50,25,168,113,152,0.743
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,90,52,287,136,219,0.621
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,1,1,2,1,1,1.0
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,27,4,89,46,53,0.868
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,40,15,115,66,100,0.66
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,14,3,52,19,34,0.559
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,45,10,134,81,105,0.771
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,8,4,59,52,61,0.852
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,15,8,39,19,29,0.655
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,28,16,132,74,101,0.733
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,20,4,23,16,18,0.889
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,44,30,74,42,62,0.677
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,12,16,108,29,49,0.592
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,138,24,155,85,127,0.669
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,31,23,258,109,160,0.681
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,6,2,16,11,16,0.688
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,1,2,9,0,1,0.0
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,7,0,12,8,12,0.667
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,34,111,424,166,338,0.491
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,5,7,16,10,21,0.476
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,1,0,3,1,1,1.0
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,3,2,5,4,5,0.8
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,11,0,22,14,18,0.778
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,4,3,21,8,11,0.727
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,26,10,117,63,80,0.788
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,13,21,43,38,75,0.507
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,1,0,1,2,2,1.0
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,30,51,152,82,158,0.519
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,24,5,124,56,78,0.718
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,4,2,13,6,9,0.667
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,38,24,107,68,111,0.613
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,0,0,4,0,0,0.0
