PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,10,1,4,0.25,2,2,1.0,4,0.4,2,0.2,0,0.0,1,0.1,1,0.1
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,91,5,11,0.455,0,0,0.0,10,0.11,70,0.769,8,0.088,7,0.077,0,0.0
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,96,16,51,0.314,5,6,0.833,38,0.396,38,0.396,9,0.094,3,0.031,3,0.031
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,92,24,46,0.522,36,41,0.878,86,0.935,17,0.185,4,0.043,5,0.054,21,0.228
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,110,27,51,0.529,11,12,0.917,70,0.636,48,0.436,12,0.109,3,0.027,6,0.055
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,262,67,143,0.469,36,39,0.923,176,0.672,74,0.282,10,0.038,17,0.065,20,0.076
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,317,60,139,0.432,25,34,0.735,146,0.461,125,0.394,30,0.095,24,0.076,17,0.054
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,243,58,111,0.523,23,26,0.885,139,0.572,93,0.383,17,0.07,13,0.053,13,0.053
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,31,6,15,0.4,10,14,0.714,23,0.742,8,0.258,0,0.0,1,0.032,7,0.226
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,16,5,8,0.625,0,0,0.0,12,0.75,5,0.313,1,0.063,3,0.188,0,0.0
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,566,139,262,0.531,68,78,0.872,361,0.638,220,0.389,40,0.071,30,0.053,40,0.071
201143,Al Horford,1610612744,GSW,43,22,21,933.0,43,10,21,0.476,4,4,1.0,24,0.558,17,0.395,3,0.07,3,0.07,2,0.047
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,94,19,43,0.442,10,12,0.833,50,0.532,37,0.394,9,0.096,6,0.064,6,0.064
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0
