PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,143,3,0,1,0.0,0,0,0.0,0,0.0,1,0.333,0,0.0,1,0.333,0,0.0
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,2755,19,1,5,0.2,0,0,0.0,2,0.105,13,0.684,4,0.308,0,0.0,0,0.0
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,554,5,0,0,0.0,1,2,0.5,1,0.2,4,0.8,1,0.25,0,0.0,1,0.2
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,1322,47,12,19,0.632,5,6,0.833,30,0.638,23,0.489,6,0.261,2,0.043,3,0.064
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,803,3,1,3,0.333,0,0,0.0,2,0.667,0,0.0,0,0.0,0,0.0,0,0.0
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,2044,18,4,9,0.444,0,0,0.0,8,0.444,9,0.5,0,0.0,0,0.0,0,0.0
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,1940,22,9,15,0.6,0,0,0.0,19,0.864,6,0.273,0,0.0,0,0.0,0,0.0
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,1912,46,14,22,0.636,2,2,1.0,30,0.652,21,0.457,4,0.19,2,0.043,1,0.022
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,983,45,9,15,0.6,6,8,0.75,24,0.533,23,0.511,2,0.087,3,0.067,4,0.089
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,127,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,1,1.0,0,0.0,0,0.0
