PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,FRAMES,GRAVITYSCORE,AVGGRAVITYSCORE,ONBALLPERIMETERFRAMES,ONBALLPERIMETERGRAVITYSCORE,AVGONBALLPERIMETERGRAVITYSCORE,OFFBALLPERIMETERFRAMES,OFFBALLPERIMETERGRAVITYSCORE,AVGOFFBALLPERIMETERGRAVITYSCORE,ONBALLINTERIORFRAMES,ONBALLINTERIORGRAVITYSCORE,AVGONBALLINTERIORGRAVITYSCORE,OFFBALLINTERIORFRAMES,OFFBALLINTERIORGRAVITYSCORE,AVGOFFBALLINTERIORGRAVITYSCORE,GAMESPLAYED,MINUTES,PTS,REB,AST
201142,Kevin,Durant,1610612745,HOU,Rockets,Houston,356971,16.483276923,16.6016443,87063,13.4544,13.921364,195069,19.1922461538,18.7598958,21167,11.7513384615,11.4882211,53672,12.1769384615,13.2192878,65,36.5,25.7,5.5,4.4
1630162,Anthony,Edwards,1610612750,MIN,Timberwolves,Minnesota,273526,14.6458771929,15.0944029,90178,16.0604210526,16.7142618,137122,15.0344385964,15.3031086,20850,10.5813333333,11.4509031,25376,9.3944210526,10.7882838,57,35.6,29.7,5.2,3.7
1628983,Shai,Gilgeous-Alexander,1610612760,OKC,Thunder,Oklahoma City,266078,14.8216666666,15.0405161,90936,13.3920526315,13.503641,103589,20.0484210526,20.265868,32135,8.527614035,7.6922129,39418,10.6743508771,11.916309,57,33.5,31.7,4.4,6.6
1629029,Luka,Dončić,1610612747,LAL,Lakers,Los Angeles,265223,14.4764827586,14.8370128,112345,17.1993103448,17.6428415,104593,17.0612241379,17.2151278,28018,1.9140862068,2.1407041,20267,1.0873793103,3.4404592,58,35.8,33.4,7.9,8.4
202695,Kawhi,Leonard,1610612746,LAC,Clippers,LA,268931,14.0836111111,13.5390142,70039,17.4179259259,17.6815434,134164,14.6307777777,13.7275157,24753,13.6298333333,13.3089963,39975,12.6122222222,12.4912942,54,32.3,28.2,6.4,3.6
1629008,Michael,Porter Jr.,1610612751,BKN,Nets,Brooklyn,252893,13.2471153846,13.0986047,30362,10.2640576923,10.5119317,154247,16.8235576923,16.7555718,11085,1.2595192307,0.0459861,57199,4.57875,4.3658856,52,32.5,24.2,7.1,3.0
201935,James,Harden,1610612739,CLE,Cavaliers,Cleveland,320871,12.4920666666,12.9609156,134379,13.5454166666,14.8170421,146814,15.6488333333,15.2905225,21678,-4.4411,-5.744795,18000,-2.8871166666,-2.5301396,60,35.0,24.2,4.9,8.0
202691,Klay,Thompson,1610612742,DAL,Mavericks,Dallas,181954,11.9511864406,11.8915621,17222,6.8172033898,7.259785,132957,14.8806101694,14.6866993,3634,-7.4400677966,-7.35561,28141,-3.7558305084,-2.4364212,59,21.9,11.9,2.2,1.4
1630595,Cade,Cunningham,1610612765,DET,Pistons,Detroit,281031,11.249,11.2280469,109309,12.1990169491,12.2131754,116216,14.7390169491,14.59874,27107,2.1984915254,0.8867076,28399,2.7910338983,1.9461181,59,34.3,24.5,5.6,9.7
1629130,Duncan,Robinson,1610612765,DET,Pistons,Detroit,255211,10.7569692307,11.1245462,20883,10.1179230769,10.8357828,181791,12.3303846153,12.5356151,4583,-14.2953230769,-14.5788701,47954,-8.935,-7.036797,65,27.4,11.7,2.6,2.0
1628378,Donovan,Mitchell,1610612739,CLE,Cavaliers,Cleveland,263622,10.8710166666,11.0765865,82931,7.8556666666,8.2665748,139052,16.1348833333,16.1102819,20341,-2.8128166666,-3.8175481,21298,-1.87435,-1.4526349,60,33.5,28.0,4.4,5.9
1630530,Trey,Murphy III,1610612740,NOP,Pelicans,New Orleans,332764,11.0572580645,10.9833781,51612,9.0407258064,8.8604865,222168,13.5679838709,13.364776,11770,-2.2548709677,-3.1628338,47214,4.8387e-05,0.2692177,62,35.4,22.0,5.7,3.9
1626164,Devin,Booker,1610612756,PHX,Suns,Phoenix,268541,10.5546481481,10.8509055,85260,11.2195,12.2529276,114667,14.9251666666,15.1345435,28547,1.3139814814,0.5693652,40067,0.4357592592,0.4642208,54,33.5,25.8,3.9,5.9
1630178,Tyrese,Maxey,1610612755,PHI,76ers,Philadelphia,326490,10.3825409836,10.7859664,113666,8.2019344262,8.1627542,171486,13.4049344262,14.0844557,18271,-1.3048032786,-1.3925771,23067,3.0124262295,4.4987898,61,38.3,29.0,4.1,6.7
1630166,Deni,Avdija,1610612757,POR,Trail Blazers,Portland,275476,8.9516111111,9.7694989,86857,9.6297037037,10.7715539,132276,12.2587777777,12.5054314,27052,0.2962407407,1.1180642,29291,1.0652777777,1.6610554,54,33.4,24.2,7.0,6.7
1626181,Norman,Powell,1610612748,MIA,Heat,Miami,202908,9.0463461538,9.2515146,30811,4.7742692307,5.2266086,132308,11.8229615384,11.7605669,11266,-1.5124615384,-4.1828064,28523,0.2500384615,-0.6969548,52,30.1,22.3,3.6,2.6
1630217,Desmond,Bane,1610612753,ORL,Magic,Orlando,333600,9.4958358208,9.1212542,67901,7.5123582089,6.9685907,208102,12.210283582,12.0424995,16237,-3.9087014925,-8.0594742,41360,0.330761194,-0.1340732,67,34.3,20.8,4.1,4.2
1641705,Victor,Wembanyama,1610612759,SAS,Spurs,San Antonio,201834,8.890537037,8.9620861,25707,9.1405555555,10.2737506,76222,11.1281111111,10.7636133,19683,4.9865925925,4.8652954,80222,4.7265,6.0546209,54,29.4,24.4,11.1,2.9
1627750,Jamal,Murray,1610612743,DEN,Nuggets,Denver,336776,8.922484375,8.8947855,123257,7.001453125,7.8849381,155613,12.97475,12.5452551,25270,-0.34453125,-0.0597302,32636,1.51840625,1.2683888,64,34.9,25.2,4.4,7.1
1628973,Jalen,Brunson,1610612752,NYK,Knicks,New York,346596,9.2330655737,8.6050934,133909,9.620409836,9.3506402,154939,13.6974426229,12.5908463,29598,-7.6333770491,-8.3297226,28150,-5.1897704918,-5.7390246,61,34.9,26.4,3.4,6.6
