PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,OFFENSE,DEFENSE,FULL,SHOOTING,TURNOVERS,REBOUNDS,CREATION,ONBALLDEF,GAMESPLAYED,MINUTES,PTS,REB,AST
203999,Nikola,Jokić,1610612743,DEN,Nuggets,Denver,0.1684759259,0.2779185185,0.4463925925,0.1019148148,-0.2094407407,0.1259055555,0.2839925925,0.0760111111,54,34.7,28.2,12.6,10.5
1628983,Shai,Gilgeous-Alexander,1610612760,OKC,Thunder,Oklahoma City,0.1828396551,0.2189224137,0.4017620689,0.1081603448,-0.0988172413,0.0444706896,0.2149172413,0.0722551724,58,33.5,31.5,4.5,6.6
1629029,Luka,Dončić,1610612747,LAL,Lakers,Los Angeles,0.1061005172,0.2350815517,0.3411665517,0.1108296551,-0.1929798275,0.0712372413,0.2251148275,0.0741848275,58,35.8,33.4,7.9,8.4
1627750,Jamal,Murray,1610612743,DEN,Nuggets,Denver,0.0744492307,0.2109646153,0.2854046153,0.0595384615,-0.1446015384,0.0454723076,0.1908461538,0.0656938461,65,35.0,25.1,4.4,7.1
1630178,Tyrese,Maxey,1610612755,PHI,76ers,Philadelphia,0.0447803278,0.2385508196,0.2833213114,0.0417032786,-0.1474262295,0.040204918,0.2028754098,0.0880721311,61,38.3,29.0,4.1,6.7
1630595,Cade,Cunningham,1610612765,DET,Pistons,Detroit,0.0447934426,0.2225786885,0.2673754098,0.0017180327,-0.2066475409,0.0550442622,0.2768983606,0.0706196721,61,34.4,24.5,5.6,9.9
1641705,Victor,Wembanyama,1610612759,SAS,Spurs,San Antonio,-0.0306883636,0.2979041818,0.2672194545,0.0331687272,-0.139680909,0.0975843636,0.0893418181,0.1302234545,55,29.4,24.3,11.1,2.9
1630552,Jalen,Johnson,1610612737,ATL,Hawks,Atlanta,0.0225419354,0.2435096774,0.2660532258,0.0252516129,-0.1859080645,0.0952951612,0.2098451612,0.0593403225,62,35.3,22.9,10.5,8.1
201142,Kevin,Durant,1610612745,HOU,Rockets,Houston,0.0146215384,0.2354923076,0.2501092307,0.0768538461,-0.1850876923,0.057316923,0.1559723076,0.0732215384,65,36.5,25.7,5.5,4.4
201935,James,Harden,1610612739,CLE,Cavaliers,Cleveland,0.0604355,0.1831928333,0.2436233333,0.0747061666,-0.1839981666,0.0449508333,0.2026461666,0.0527608333,60,35.0,24.2,4.9,8.0
203497,Rudy,Gobert,1610612750,MIN,Timberwolves,Minnesota,-0.0281179104,0.2682820895,0.240161194,0.0163089552,-0.0779701492,0.1102059701,0.0355164179,0.1021776119,67,31.4,10.9,11.4,1.7
202696,Nikola,Vučević,1610612738,BOS,Celtics,Boston,0.0103816666,0.2242433333,0.2346233333,0.0102383333,-0.0691533333,0.0817383333,0.0897216666,0.0774416666,60,29.0,15.6,8.6,3.4
1630217,Desmond,Bane,1610612753,ORL,Magic,Orlando,0.045213913,0.1883923188,0.2336062318,0.0686963768,-0.1177686956,0.0437782608,0.1298185507,0.0552653623,69,34.2,20.6,4.2,4.2
1642270,Donovan,Clingan,1610612757,POR,Trail Blazers,Portland,-0.00388,0.2369707692,0.2330815384,-0.0015630769,-0.0705553846,0.113056923,0.06236,0.0945261538,65,27.3,12.2,11.6,2.2
