PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,143,12,4,4,1.0,2,2,1.0,11,0.917,6,0.5,1,0.083,1,0.083,1,0.083
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,2755,24,6,11,0.545,0,0,0.0,12,0.5,13,0.542,5,0.208,0,0.0,0,0.0
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,554,17,5,7,0.714,5,6,0.833,16,0.941,4,0.235,2,0.118,3,0.176,3,0.176
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,1322,122,56,82,0.683,15,22,0.682,133,1.09,24,0.197,6,0.049,4,0.033,11,0.09
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,803,2,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,2044,41,8,20,0.4,4,6,0.667,21,0.512,16,0.39,2,0.049,0,0.0,3,0.073
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,1940,69,30,40,0.75,5,8,0.625,66,0.957,16,0.232,1,0.014,3,0.043,4,0.058
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,1912,126,53,78,0.679,15,20,0.75,121,0.96,27,0.214,3,0.024,7,0.056,9,0.071
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,983,195,73,122,0.598,26,32,0.813,171,0.877,33,0.169,3,0.015,19,0.097,17,0.087
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,127,14,4,8,0.5,0,0,0.0,8,0.571,5,0.357,2,0.143,0,0.0,0,0.0
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,2249,45,20,27,0.741,0,0,0.0,40,0.889,12,0.267,2,0.044,3,0.067,0,0.0
201143,Al Horford,1610612744,GSW,43,22,21,933.0,1889,115,28,49,0.571,9,10,0.9,66,0.574,51,0.443,14,0.122,8,0.07,5,0.043
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,1430,47,14,23,0.609,1,2,0.5,29,0.617,20,0.426,3,0.064,3,0.064,1,0.021
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,16,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,2628,260,114,177,0.644,29,48,0.604,264,1.015,31,0.119,5,0.019,14,0.054,24,0.092
1642918,Alijah Martin,1610612761,TOR,16,6,10,102.0,133,10,1,2,0.5,2,2,1.0,4,0.4,5,0.5,1,0.1,1,0.1,1,0.1
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,116,9,5,5,1.0,2,2,1.0,12,1.333,2,0.222,0,0.0,1,0.111,1,0.111
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,4228,375,114,196,0.582,28,44,0.636,270,0.72,128,0.341,42,0.112,12,0.032,21,0.056
1642873,Amari Williams,1610612738,BOS,19,13,6,120.0,144,21,6,13,0.462,2,4,0.5,15,0.714,5,0.238,1,0.048,0,0.0,2,0.095
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,4811,441,147,215,0.684,43,60,0.717,348,0.789,155,0.351,37,0.084,26,0.059,28,0.063
