PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,92,85,3,2,0,14,9,5,0.033,0.054
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,2149,1688,119,12,23,199,321,154,0.055,0.072
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,372,427,36,1,4,67,88,42,0.097,0.113
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,875,911,69,9,6,125,190,84,0.079,0.096
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,541,631,40,4,8,77,106,52,0.074,0.096
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,1420,1407,81,8,13,136,217,103,0.057,0.073
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,1313,1374,98,13,22,192,263,133,0.075,0.101
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,1054,1358,105,11,15,196,281,130,0.1,0.123
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,715,486,25,3,3,45,71,31,0.035,0.043
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,98,60,6,0,0,12,18,6,0.061,0.061
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,1518,1797,174,16,30,333,457,220,0.115,0.145
201143,Al Horford,1610612744,GSW,43,22,21,933.0,1507,1303,112,6,29,217,294,146,0.074,0.097
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,1074,888,91,6,11,146,230,108,0.085,0.101
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,11,9,4,0,0,3,10,4,0.364,0.364
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,1803,1640,119,11,16,206,328,146,0.066,0.081
1642918,Alijah Martin,1610612761,TOR,16,6,10,102.0,81,86,8,0,0,12,19,8,0.099,0.099
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,76,67,12,0,3,15,28,15,0.158,0.197
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,2815,3132,361,33,35,640,924,429,0.128,0.152
1642873,Amari Williams,1610612738,BOS,19,13,6,120.0,114,97,8,0,1,15,22,9,0.07,0.079
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,3493,3585,349,25,55,646,918,428,0.1,0.123
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,287,254,24,0,2,39,64,26,0.084,0.091
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,166,99,14,1,3,21,37,18,0.084,0.108
203083,Andre Drummond,1610612755,PHI,51,25,26,1015.0,784,588,55,2,10,75,131,66,0.07,0.084
1641748,Andre Jackson Jr.,1610612749,MIL,37,10,27,219.0,362,271,27,3,2,49,79,32,0.075,0.088
1629614,Andrew Nembhard,1610612754,IND,52,11,41,1621.0,3482,3982,377,32,52,668,979,461,0.108,0.132
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,1657,1762,159,10,39,266,412,208,0.096,0.126
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,1631,2015,134,6,28,256,355,168,0.082,0.103
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,2422,2699,229,24,30,388,582,280,0.095,0.116
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,743,744,56,2,5,85,133,63,0.075,0.085
1630162,Anthony Edwards,1610612750,MIN,58,35,23,2061.0,2611,3433,216,21,52,383,559,289,0.083,0.111
1630264,Anthony Gill,1610612764,WAS,42,5,37,568.0,530,451,43,3,3,71,111,49,0.081,0.092
1641810,Antonio Reeves,1610612766,CHA,9,3,6,66.0,47,42,2,0,1,7,6,3,0.043,0.064
1630574,Ariel Hukporti,1610612752,NYK,48,31,17,430.0,313,270,24,2,2,46,63,28,0.077,0.089
1642854,Asa Newell,1610612737,ATL,40,20,20,445.0,387,333,20,4,4,41,58,29,0.052,0.075
1641709,Ausar Thompson,1610612765,DET,60,43,17,1535.0,1721,1669,175,21,16,296,461,213,0.102,0.124
1630559,Austin Reaves,1610612747,LAL,44,31,13,1513.0,2140,2456,243,20,35,378,603,298,0.114,0.139
1630245,Ayo Dosunmu,1610612750,MIN,61,32,29,1615.0,2276,2438,209,20,36,369,554,263,0.092,0.116
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,2148,2169,174,12,28,273,462,214,0.081,0.1
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,952,729,86,12,15,152,244,113,0.09,0.119
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,1052,1111,98,11,10,189,265,119,0.093,0.113
1641767,Ben Sheppard,1610612754,IND,58,13,45,1245.0,1552,1345,103,5,22,173,258,130,0.066,0.084
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,1469,1741,100,9,21,185,257,130,0.068,0.088
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,126,96,14,2,3,25,37,19,0.111,0.151
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,1495,1468,124,7,13,187,315,143,0.083,0.096
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,115,62,5,0,1,8,15,6,0.043,0.052
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,160,168,8,0,2,12,19,10,0.05,0.063
1631104,Blake Wesley,1610612757,POR,23,14,9,301.0,493,525,54,3,6,101,144,63,0.11,0.128
1626171,Bobby Portis,1610612749,MIL,66,26,40,1600.0,2178,1810,104,5,16,182,275,125,0.048,0.057
1641752,Bobi Klintman,1610612765,DET,11,7,4,69.0,63,50,6,0,0,8,14,6,0.095,0.095
203992,Bogdan Bogdanović,1610612746,LAC,20,5,15,421.0,543,525,50,7,11,89,142,68,0.092,0.125
1630538,Bones Hyland,1610612750,MIN,61,38,23,925.0,1686,1807,156,11,27,244,400,196,0.093,0.116
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,111,146,10,1,0,16,27,11,0.09,0.099
1642382,Branden Carlson,1610612760,OKC,35,27,8,376.0,362,270,21,0,2,26,51,23,0.058,0.064
1641764,Brandin Podziemski,1610612744,GSW,69,33,36,1941.0,3132,3219,261,14,58,557,714,333,0.083,0.106
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,15,17,1,0,0,3,3,1,0.067,0.067
1627742,Brandon Ingram,1610612761,TOR,66,38,28,2251.0,2154,2789,248,14,40,494,645,301,0.115,0.14
1641706,Brandon Miller,1610612766,CHA,53,33,20,1596.0,1999,2331,184,19,30,341,501,233,0.092,0.117
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,1955,2286,226,25,30,419,579,281,0.116,0.144
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,1304,1555,110,19,22,209,296,151,0.084,0.116
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,310,335,38,3,4,59,91,44,0.123,0.142
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,980,1055,75,5,6,123,202,86,0.077,0.088
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,223,166,18,1,3,34,51,22,0.081,0.099
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,1964,1832,149,22,22,256,398,192,0.076,0.098
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,825,683,62,8,5,91,161,75,0.075,0.091
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,3205,3057,312,36,18,569,782,364,0.097,0.114
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,6,10,0,1,0,1,2,1,0.0,0.167
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,1029,971,66,12,15,124,191,93,0.064,0.09
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,2371,3078,235,24,34,487,632,293,0.099,0.124
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,3737,4369,603,73,70,1069,1548,744,0.161,0.199
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,38,44,2,1,0,9,6,3,0.053,0.079
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,1199,1469,122,10,16,199,316,147,0.102,0.123
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,745,641,81,11,9,143,220,101,0.109,0.136
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,456,450,28,1,11,51,75,41,0.061,0.09
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,2748,2938,352,31,38,601,895,420,0.128,0.153
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,1008,1424,107,2,20,196,270,128,0.106,0.127
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,220,300,15,0,0,30,38,15,0.068,0.068
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,1180,1188,103,10,15,189,264,127,0.087,0.108
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,474,484,40,4,4,64,95,48,0.084,0.101
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,1233,1299,130,13,8,263,324,151,0.105,0.122
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,493,459,28,6,4,61,77,38,0.057,0.077
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,1879,1791,183,20,27,371,491,230,0.097,0.122
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,2193,1740,152,14,21,252,393,188,0.069,0.086
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,137,99,9,1,0,15,21,10,0.066,0.073
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,29,12,2,0,0,3,5,2,0.069,0.069
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,119,152,14,2,0,16,34,16,0.118,0.134
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,1806,1422,102,6,10,158,251,118,0.056,0.065
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,82,63,3,0,1,6,9,4,0.037,0.049
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,14,16,1,0,0,1,2,1,0.071,0.071
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,27,12,1,1,0,4,3,2,0.037,0.074
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,418,434,53,5,5,109,146,63,0.127,0.151
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,100,108,11,0,2,13,29,13,0.11,0.13
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,1244,1095,101,8,11,147,262,120,0.081,0.096
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,270,180,14,2,4,27,39,20,0.052,0.074
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,23,28,2,0,0,5,5,2,0.087,0.087
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,696,437,40,3,7,63,104,50,0.057,0.072
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,1392,1810,171,7,27,303,443,205,0.123,0.147
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,57,43,2,1,1,7,7,4,0.035,0.07
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,1035,899,86,1,11,129,212,98,0.083,0.095
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,8,6,2,1,0,4,5,3,0.25,0.375
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,924,1085,121,13,11,224,325,146,0.131,0.158
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,11,7,1,0,0,0,2,1,0.091,0.091
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,3215,3345,330,25,71,570,853,424,0.103,0.132
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,1192,929,93,3,9,156,237,105,0.078,0.088
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,1778,2288,189,19,20,344,485,229,0.106,0.129
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,2498,2590,260,8,34,454,629,296,0.104,0.118
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,806,833,79,4,9,124,200,92,0.098,0.114
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,5,8,1,0,0,1,3,1,0.2,0.2
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,1621,1445,187,17,25,360,480,229,0.115,0.141
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,28,32,3,0,0,2,7,3,0.107,0.107
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,853,891,104,16,11,178,282,131,0.122,0.154
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,181,181,16,3,1,28,45,20,0.088,0.11
1631342,Daeqwon Plowden,1610612758,SAC,21,6,15,514.0,444,423,24,1,4,46,66,29,0.054,0.065
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,36,43,4,1,0,7,11,5,0.111,0.139
1631207,Dalen Terry,1610612755,PHI,43,18,25,511.0,660,605,62,2,10,112,160,74,0.094,0.112
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,431,420,16,3,2,37,47,21,0.037,0.049
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,947,669,49,4,4,83,124,57,0.052,0.06
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,1666,1871,186,25,22,356,489,233,0.112,0.14
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,1377,1274,125,15,11,219,325,151,0.091,0.11
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,31,23,2,0,1,2,5,3,0.065,0.097
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,4,4,0,1,0,2,2,1,0.0,0.25
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,1545,1887,232,21,28,408,580,280,0.15,0.181
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,90,99,18,0,3,18,40,20,0.2,0.222
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,26,18,2,1,0,4,7,3,0.077,0.115
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,3192,3188,390,36,67,678,1043,491,0.122,0.154
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,1619,1357,145,13,8,238,390,166,0.09,0.103
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,2815,3248,381,44,47,703,1029,472,0.135,0.168
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,1137,1225,90,13,22,179,239,124,0.079,0.109
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,1313,1426,91,10,26,201,246,127,0.069,0.097
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,149,93,8,2,0,17,23,10,0.054,0.067
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,101,82,13,1,0,22,35,14,0.129,0.139
201942,DeMar DeRozan,1610612758,SAC,69,17,52,2184.0,1728,2591,275,15,44,536,717,334,0.159,0.193
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,1239,864,82,5,15,142,217,102,0.066,0.082
