PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,49,143,94,3.7,1.53,0.76,0.343,3,0,12,0.0,0.0,0.917
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,619,2755,1504,81.2,1.77,0.87,0.225,19,0,24,0.105,0.0,0.5
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,112,554,279,36.2,3.92,3.5,0.202,5,0,17,0.2,0.0,0.941
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,471,1322,670,82.4,3.74,2.63,0.356,47,50,122,0.638,0.58,1.09
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,233,803,363,55.1,4.12,3.82,0.29,3,0,2,0.667,0.0,0.0
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,557,2044,1275,63.8,1.87,1.17,0.273,18,0,41,0.444,0.0,0.512
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,547,1940,969,103.8,3.21,2.82,0.282,22,0,69,0.864,0.0,0.957
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,783,1912,1388,65.5,2.05,1.33,0.41,46,8,126,0.652,0.75,0.96
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,275,983,522,24.7,1.51,0.45,0.28,45,5,195,0.533,0.4,0.877
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,28,127,57,4.1,1.92,0.93,0.22,2,1,14,1.0,0.0,0.571
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,682,2249,993,179.5,4.79,4.88,0.303,30,0,45,0.667,0.0,0.889
201143,Al Horford,1610612744,GSW,43,22,21,933.0,357,1889,1190,47.8,1.52,0.47,0.189,58,97,115,0.483,0.33,0.574
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,303,1430,707,61.3,2.57,1.81,0.212,37,1,47,0.486,0.0,0.617
