PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,0,0,,0,0,0,,
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,58,131,0.443,161,45,106,0.425,0.615
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,4,19,0.211,12,4,16,0.25,0.316
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,35,90,0.389,84,14,41,0.341,0.467
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,13,49,0.265,32,6,22,0.273,0.327
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,40,114,0.351,93,13,48,0.271,0.408
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,32,87,0.368,82,18,56,0.321,0.471
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,95,227,0.419,221,31,74,0.419,0.487
1641737,Adem Bona,1610612755,PHI,60,34,26,1045.0,0,0,,0,0,0,,
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,0,0,,0,0,0,,
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,63,124,0.508,143,17,41,0.415,0.577
201143,Al Horford,1610612744,GSW,43,22,21,933.0,6,13,0.462,13,1,3,0.333,0.5
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,7,28,0.25,17,3,19,0.158,0.304
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,0,0,,0,,,,
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,25,73,0.342,54,4,15,0.267,0.37
1642918,Alijah Martin,1610612761,TOR,16,6,10,102.0,1,9,0.111,2,0,3,0.0,0.111
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,0,3,0.0,0,0,2,0.0,0.0
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,54,169,0.32,114,6,18,0.333,0.337
1642873,Amari Williams,1610612738,BOS,19,13,6,120.0,0,0,,0,,,,
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,46,144,0.319,94,2,15,0.133,0.326
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,13,25,0.52,26,0,2,0.0,0.52
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,0,1,0.0,0,0,1,0.0,0.0
203083,Andre Drummond,1610612755,PHI,52,26,26,1039.0,1,3,0.333,3,1,2,0.5,0.5
1641748,Andre Jackson Jr.,1610612749,MIL,37,10,27,219.0,1,11,0.091,3,1,7,0.143,0.136
1629614,Andrew Nembhard,1610612754,IND,52,11,41,1621.0,141,366,0.385,326,44,135,0.326,0.445
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,67,160,0.419,153,19,45,0.422,0.478
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,125,317,0.394,311,61,181,0.337,0.491
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,63,196,0.321,159,33,104,0.317,0.406
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,31,81,0.383,64,2,6,0.333,0.395
1630162,Anthony Edwards,1610612750,MIN,58,35,23,2061.0,267,652,0.41,658,124,350,0.354,0.505
1630264,Anthony Gill,1610612764,WAS,42,5,37,568.0,2,6,0.333,4,0,1,0.0,0.333
1641810,Antonio Reeves,1610612766,CHA,9,3,6,66.0,2,4,0.5,6,2,3,0.667,0.75
1630574,Ariel Hukporti,1610612752,NYK,48,31,17,430.0,0,0,,0,0,0,,
1642854,Asa Newell,1610612737,ATL,40,20,20,445.0,1,4,0.25,2,0,1,0.0,0.25
1641709,Ausar Thompson,1610612765,DET,60,43,17,1535.0,26,67,0.388,54,2,3,0.667,0.403
1630559,Austin Reaves,1610612747,LAL,44,31,13,1513.0,99,269,0.368,247,49,154,0.318,0.459
1630245,Ayo Dosunmu,1610612750,MIN,61,32,29,1615.0,38,68,0.559,94,18,33,0.545,0.691
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,84,239,0.351,186,18,55,0.327,0.389
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,27,59,0.458,68,14,34,0.412,0.576
1642879,Ben Saraf,1610612751,BKN,32,8,24,587.0,4,25,0.16,11,3,16,0.188,0.22
1641767,Ben Sheppard,1610612754,IND,58,13,45,1246.0,14,45,0.311,35,7,24,0.292,0.389
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,85,231,0.368,202,32,108,0.296,0.437
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,0,3,0.0,0,0,2,0.0,0.0
1641731,Bilal Coulibaly,1610612764,WAS,47,13,34,1252.0,17,56,0.304,39,5,25,0.2,0.348
202687,Bismack Biyombo,1610612759,SAS,20,16,4,117.0,0,0,,0,,,,
1642396,Blake Hinson,1610612762,UTA,10,3,7,202.0,3,10,0.3,7,1,6,0.167,0.35
