PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
1630639,A.J. Lawson,1610612761,TOR,11,5,6,106.0,7,3,4,0.429,12,0.583,0,0.583,12.7,16,3,13,0.188,28,0.571,2,0.615,7.7,23,6,17,0.261,40,0.575,2,0.605,9.2
1631260,AJ Green,1610612749,MIL,58,25,33,1704.0,18,5,13,0.278,54,0.333,2,0.346,17.0,143,31,112,0.217,270,0.53,21,0.574,8.4,161,36,125,0.224,315,0.511,23,0.551,9.4
1642358,AJ Johnson,1610612742,DAL,21,2,19,258.0,9,3,6,0.333,25,0.36,1,0.375,10.0,37,11,26,0.297,55,0.673,6,0.755,7.6,46,14,32,0.304,80,0.575,7,0.63,8.1
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,39,27,12,0.692,78,0.5,5,0.534,6.6,130,38,92,0.292,187,0.695,11,0.739,5.7,169,65,104,0.385,259,0.653,16,0.695,5.9
1628988,Aaron Holiday,1610612745,HOU,24,15,9,387.0,7,2,5,0.286,20,0.35,0,0.35,18.2,31,8,23,0.258,50,0.62,2,0.646,10.3,38,10,28,0.263,69,0.551,2,0.567,11.8
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,47,24,23,0.511,104,0.452,5,0.475,13.4,126,26,100,0.206,222,0.568,25,0.64,7.3,173,50,123,0.289,318,0.544,30,0.601,9.0
1630598,Aaron Wiggins,1610612760,OKC,51,39,12,1204.0,38,23,15,0.605,99,0.384,7,0.413,8.4,146,35,111,0.24,275,0.531,30,0.596,7.4,184,58,126,0.315,365,0.504,37,0.561,7.6
1642846,Ace Bailey,1610612762,UTA,60,18,42,1617.0,94,44,50,0.468,173,0.543,3,0.553,9.3,151,48,102,0.318,244,0.619,28,0.699,7.2,245,92,152,0.376,404,0.606,31,0.657,8.0
1641737,Adem Bona,1610612755,PHI,57,31,26,1002.0,107,69,37,0.645,291,0.368,10,0.381,4.9,150,50,100,0.333,327,0.459,42,0.526,4.6,257,119,137,0.463,598,0.43,52,0.471,4.7
1642876,Adou Thiero,1610612747,LAL,12,6,6,79.0,7,3,4,0.429,19,0.368,0,0.368,7.0,13,5,8,0.385,18,0.722,0,0.722,4.7,20,8,12,0.4,35,0.571,0,0.571,5.5
1642349,Ajay Mitchell,1610612760,OKC,45,39,6,1215.0,35,13,22,0.371,83,0.422,3,0.438,11.9,134,31,103,0.231,231,0.58,20,0.635,9.5,169,44,125,0.26,305,0.554,23,0.599,10.0
201143,Al Horford,1610612744,GSW,41,21,20,880.0,42,22,20,0.524,80,0.525,2,0.538,8.9,167,67,100,0.401,248,0.673,16,0.72,4.9,209,89,120,0.426,323,0.647,18,0.685,5.7
1627936,Alex Caruso,1610612760,OKC,43,35,8,817.0,28,10,18,0.357,73,0.384,3,0.4,11.7,103,24,78,0.233,165,0.624,14,0.682,8.0,131,34,96,0.26,229,0.572,17,0.618,8.8
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,1,1,0,1.0,3,0.333,0,0.333,7.0,2,0,2,0.0,4,0.5,1,0.667,5.8,3,1,2,0.333,7,0.429,1,0.5,6.2
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,102,64,37,0.627,237,0.43,6,0.442,5.9,239,94,144,0.393,472,0.506,60,0.58,4.3,341,158,181,0.463,701,0.486,66,0.537,4.8
1642918,Alijah Martin,1610612761,TOR,6,3,3,73.0,6,2,4,0.333,15,0.4,0,0.4,8.5,8,2,6,0.25,11,0.727,0,0.727,6.9,14,4,10,0.286,26,0.538,0,0.538,7.6
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,5,2,3,0.4,5,1.0,0,1.0,11.0,20,7,13,0.35,32,0.625,3,0.69,7.7,25,9,16,0.36,37,0.676,3,0.735,8.4
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,177,111,66,0.627,403,0.439,20,0.462,6.1,346,106,235,0.306,609,0.568,63,0.634,4.7,523,217,301,0.415,977,0.535,83,0.585,5.2
1642873,Amari Williams,1610612738,BOS,12,7,5,103.0,8,5,3,0.625,23,0.348,2,0.381,4.6,23,9,14,0.391,40,0.575,6,0.676,5.6,31,14,17,0.452,63,0.492,8,0.564,5.3
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,193,107,78,0.554,422,0.457,17,0.477,7.0,320,89,227,0.278,489,0.654,31,0.699,7.5,513,196,305,0.382,880,0.583,48,0.617,7.3
1629599,Amir Coffey,1610612756,PHX,26,12,14,357.0,18,9,9,0.5,41,0.439,2,0.462,9.4,34,8,25,0.235,53,0.642,3,0.68,6.7,52,17,34,0.327,89,0.584,5,0.619,7.7
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,17,14,3,0.824,39,0.436,1,0.447,5.4,25,7,18,0.28,56,0.446,8,0.521,5.1,42,21,21,0.5,91,0.462,9,0.512,5.2
203083,Andre Drummond,1610612755,PHI,50,24,26,1012.0,165,120,45,0.727,303,0.545,8,0.559,4.2,276,92,184,0.333,437,0.632,32,0.681,4.2,441,212,229,0.481,706,0.625,40,0.662,4.2
1641748,Andre Jackson Jr.,1610612749,MIL,21,4,17,170.0,16,10,6,0.625,27,0.593,1,0.615,7.0,22,3,19,0.136,39,0.564,3,0.611,5.8,38,13,25,0.342,63,0.603,4,0.644,6.3
1629614,Andrew Nembhard,1610612754,IND,50,11,39,1571.0,23,9,14,0.391,76,0.303,3,0.315,15.2,123,13,110,0.106,225,0.547,23,0.609,10.5,146,22,124,0.151,295,0.495,26,0.543,11.3
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,101,63,38,0.624,218,0.463,5,0.474,5.8,190,64,125,0.337,379,0.501,57,0.59,6.4,291,127,163,0.436,586,0.497,62,0.555,6.2
1629014,Anfernee Simons,1610612741,CHI,49,27,22,1235.0,31,8,23,0.258,65,0.477,1,0.484,13.4,104,23,81,0.221,186,0.559,16,0.612,9.2,135,31,104,0.23,248,0.544,17,0.584,10.1
1641710,Anthony Black,1610612753,ORL,59,32,27,1824.0,44,17,26,0.386,126,0.349,7,0.37,11.8,188,33,154,0.176,321,0.586,29,0.644,7.6,232,50,180,0.216,443,0.524,36,0.57,8.4
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,62,49,13,0.79,119,0.521,6,0.549,3.3,159,57,102,0.358,253,0.628,21,0.685,5.3,221,106,115,0.48,358,0.617,27,0.668,4.7
1630162,Anthony Edwards,1610612750,MIN,57,34,23,2027.0,35,8,26,0.229,76,0.461,1,0.467,15.5,257,58,199,0.226,396,0.649,33,0.708,6.9,292,66,225,0.226,466,0.627,34,0.676,7.9
1630264,Anthony Gill,1610612764,WAS,28,5,23,531.0,39,19,20,0.487,87,0.448,0,0.448,7.2,65,26,39,0.4,118,0.551,11,0.607,5.9,104,45,59,0.433,198,0.525,11,0.556,6.4
1641810,Antonio Reeves,1610612766,CHA,4,2,2,41.0,2,1,1,0.5,4,0.5,0,0.5,9.6,6,2,4,0.333,7,0.857,0,0.857,7.2,8,3,5,0.375,11,0.727,0,0.727,7.8
1630574,Ariel Hukporti,1610612752,NYK,35,23,12,378.0,45,28,17,0.622,116,0.388,4,0.402,5.2,89,30,59,0.337,163,0.546,22,0.631,5.7,134,58,76,0.433,272,0.493,26,0.545,5.5
1642854,Asa Newell,1610612737,ATL,28,12,16,362.0,37,26,11,0.703,84,0.44,3,0.457,6.3,44,16,28,0.364,76,0.579,7,0.638,6.1,81,42,39,0.519,156,0.519,10,0.555,6.2
1641709,Ausar Thompson,1610612765,DET,59,43,16,1533.0,127,85,42,0.669,248,0.512,9,0.531,5.9,224,61,163,0.272,349,0.642,24,0.689,6.9,351,146,205,0.416,579,0.606,33,0.643,6.6
1630559,Austin Reaves,1610612747,LAL,43,30,13,1486.0,29,10,19,0.345,79,0.367,3,0.382,12.8,180,31,149,0.172,295,0.61,21,0.657,8.0,209,41,168,0.196,366,0.571,24,0.611,8.7
1630245,Ayo Dosunmu,1610612750,MIN,58,30,28,1551.0,39,15,24,0.385,99,0.394,2,0.402,13.2,145,29,116,0.2,270,0.537,25,0.592,9.3,184,44,140,0.239,363,0.507,27,0.548,10.2
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,127,76,51,0.598,283,0.449,11,0.467,7.2,467,123,344,0.263,675,0.692,60,0.759,5.7,594,199,395,0.335,918,0.647,71,0.701,6.0
1631248,Baylor Scheierman,1610612738,BOS,55,39,16,1050.0,46,17,29,0.37,124,0.371,4,0.383,11.9,177,46,131,0.26,270,0.656,24,0.72,7.1,223,63,160,0.283,376,0.593,28,0.641,8.1
1642879,Ben Saraf,1610612751,BKN,24,5,19,457.0,9,4,5,0.444,38,0.237,1,0.243,13.1,39,12,27,0.308,65,0.6,7,0.672,7.7,48,16,32,0.333,100,0.48,8,0.522,8.7
1641767,Ben Sheppard,1610612754,IND,54,13,41,1189.0,39,14,25,0.359,85,0.459,4,0.481,10.8,138,29,109,0.21,217,0.636,27,0.726,8.2,177,43,134,0.243,288,0.615,31,0.689,8.8
1631097,Bennedict Mathurin,1610612746,LAC,44,16,28,1372.0,43,22,21,0.512,121,0.355,4,0.368,8.7,203,38,165,0.187,303,0.67,21,0.72,7.2,246,60,186,0.244,405,0.607,25,0.647,7.5
1643016,Bez Mbeng,1610612762,UTA,4,1,3,122.0,6,1,5,0.167,9,0.667,0,0.667,13.5,8,3,5,0.375,16,0.5,2,0.571,9.1,14,4,10,0.286,25,0.56,2,0.609,11.0
1641731,Bilal Coulibaly,1610612764,WAS,46,13,33,1228.0,40,20,20,0.5,125,0.32,5,0.333,7.3,168,40,125,0.238,267,0.629,25,0.694,6.5,208,60,145,0.288,370,0.562,30,0.612,6.6
