PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
1630639,A.J. Lawson,1610612761,TOR,14,6,8,110.0,47025,8.9,4.5,4.4,4.58,4.85,4.33
1631260,AJ Green,1610612749,MIL,65,27,38,1866.0,747273,141.5,77.4,64.1,4.47,4.82,4.11
1642358,AJ Johnson,1610612742,DAL,40,7,33,353.0,151018,28.6,15.7,12.9,4.56,5.11,4.03
203932,Aaron Gordon,1610612743,DEN,28,19,9,768.0,269969,51.1,27.4,23.7,3.95,4.13,3.75
1628988,Aaron Holiday,1610612745,HOU,43,27,16,558.0,201540,38.2,20.2,18.0,4.04,4.15,3.92
1630174,Aaron Nesmith,1610612754,IND,41,9,32,1207.0,498258,94.4,50.9,43.4,4.52,4.92,4.11
1630598,Aaron Wiggins,1610612760,OKC,55,42,13,1258.0,532424,100.8,53.4,47.4,4.65,5.07,4.25
1642846,Ace Bailey,1610612762,UTA,61,18,43,1636.0,625590,118.5,61.4,57.1,4.22,4.32,4.12
1641737,Adem Bona,1610612755,PHI,59,33,26,1025.0,417200,79.0,41.4,37.6,4.39,4.61,4.18
1642876,Adou Thiero,1610612747,LAL,19,11,8,104.0,42432,8.0,4.2,3.8,4.45,4.64,4.27
1642349,Ajay Mitchell,1610612760,OKC,48,42,6,1266.0,515188,97.6,52.2,45.3,4.58,4.99,4.17
201143,Al Horford,1610612744,GSW,43,22,21,933.0,348733,66.0,35.8,30.2,4.07,4.27,3.85
1627936,Alex Caruso,1610612760,OKC,47,39,8,867.0,346918,65.7,33.9,31.8,4.37,4.72,4.04
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,4860,0.9,0.4,0.5,4.14,4.11,4.16
1642259,Alex Sarr,1610612764,WAS,46,11,35,1260.0,491443,93.1,49.1,43.9,4.38,4.73,4.05
1642918,Alijah Martin,1610612761,TOR,16,6,10,102.0,43566,8.3,4.3,4.0,4.42,4.68,4.17
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,41006,7.8,3.9,3.8,4.34,4.52,4.06
1630578,Alperen Sengun,1610612745,HOU,59,36,23,1975.0,694540,131.5,71.0,60.5,3.89,3.97,3.8
1642873,Amari Williams,1610612738,BOS,19,13,6,120.0,45580,8.6,4.8,3.8,4.01,4.03,3.98
1641708,Amen Thompson,1610612745,HOU,66,39,27,2453.0,939432,177.9,98.0,80.0,4.22,4.45,3.98
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,164612,31.2,15.8,15.4,4.14,4.17,4.11
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,69676,13.2,6.7,6.5,4.37,4.54,4.21
203083,Andre Drummond,1610612755,PHI,51,25,26,1015.0,369698,70.0,35.9,34.1,4.09,4.15,4.04
1641748,Andre Jackson Jr.,1610612749,MIL,37,10,27,219.0,91379,17.3,9.5,7.8,4.53,4.83,4.21
1629614,Andrew Nembhard,1610612754,IND,52,11,41,1621.0,632869,119.9,65.1,54.7,4.31,4.77,3.87
203952,Andrew Wiggins,1610612748,MIA,57,30,27,1765.0,685750,129.9,67.5,62.4,4.33,4.79,3.92
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,542697,102.8,55.8,46.9,4.4,4.56,4.22
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,711893,134.8,69.3,65.5,4.29,4.4,4.18
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,207482,39.3,20.7,18.5,3.74,3.83,3.63
1630162,Anthony Edwards,1610612750,MIN,58,35,23,2061.0,744714,141.0,76.7,64.4,4.0,4.33,3.67
1630264,Anthony Gill,1610612764,WAS,42,5,37,568.0,231831,43.9,23.2,20.7,4.32,4.58,4.06
1641810,Antonio Reeves,1610612766,CHA,9,3,6,66.0,24556,4.7,2.5,2.1,4.34,4.32,4.17
1630574,Ariel Hukporti,1610612752,NYK,48,31,17,430.0,174979,33.1,17.3,15.9,4.43,4.52,4.38
1642854,Asa Newell,1610612737,ATL,40,20,20,445.0,192430,36.4,19.5,17.0,4.76,5.15,4.4
1641709,Ausar Thompson,1610612765,DET,60,43,17,1535.0,610135,115.6,58.7,56.9,4.38,4.53,4.24
1630559,Austin Reaves,1610612747,LAL,44,31,13,1513.0,540026,102.3,56.4,45.9,4.01,4.37,3.63
1630245,Ayo Dosunmu,1610612750,MIN,61,32,29,1615.0,638634,121.0,64.1,56.9,4.37,4.77,3.99
1628389,Bam Adebayo,1610612748,MIA,61,32,29,1949.0,745902,141.3,73.6,67.7,4.22,4.7,3.8
1631248,Baylor Scheierman,1610612738,BOS,64,44,20,1115.0,433328,82.1,43.3,38.8,4.22,4.21,4.24
